V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Screening,Condition,Intro,Consent,Reason_NC,Check_PhD,CheckGroup,Intro_FS,Q1_FS_Ob,Q2_FS_Ob,Q3_FS_Ob,Q4_FS_Ra,Q5_FS_Ra,Q6_FS_Ra,Q7_FS_Op,Q8_FS_Op,Q9_FS_Op,Q10_FS_IQ,Q11_FS_IQ,Q12_FS_IQ,Q13_FS_In,Q14_FS_In,Q15_FS_In,Q16_FS_Co,Q17_FS_Co,Q18_FS_Co,Intro_MS,Q1_MS_Ob,Q2_MS_Ob,Q3_MS_Ob,Q4_MS_Ra,Q5_MS_Ra,Q6_MS_Ra,Q7_MS_Op,Q8_MS_Op,Q9_MS_Op,Q10_MS_IQ,Q11_MS_IQ,Q12_MS_IQ,Q13_MS_In,Q14_MS_In,Q15_MS_In,Q16_MS_Co,Q17_MS_Co,Q18_MS_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_ac_age,Dem_gender,Dem_tenure,Feedback,LocationLatitude,LocationLongitude,LocationAccuracy
R_0qyP9N3XeMqOvjf,Default Response Set,,,,,0,6/16/2014 17:14,6/16/2014 17:15,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eLJC5qMBXAHrwpf,Default Response Set,,,,,0,6/16/2014 17:12,6/16/2014 17:15,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,6,4,4,6,4,4,5,4,4,4,5,4,4,4,3,4,1,163,57,85,1,4,,,,
R_dbc7OfEHPdHcxw1,Default Response Set,,,,,0,6/16/2014 17:07,6/16/2014 17:16,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,3,6,5,6,6,4,2,3,4,5,3,6,3,3,1,3,1,1,128,48,85,2,4,,,,
R_eQdlLOp7IRsCaaN,Default Response Set,,,,,0,6/16/2014 17:10,6/16/2014 17:23,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,5,5,6,6,6,6,6,4,5,4,6,6,6,6,3,2,1,61,46,75,1,4,,,,
R_er4cIOdfrJUEF2R,Default Response Set,,,,,0,6/16/2014 17:25,6/16/2014 17:25,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dhWbQBZXfUmWQiV,Default Response Set,,,,,0,6/16/2014 17:23,6/16/2014 17:27,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
R_d6b440iW1NXyI3b,Default Response Set,,,,,0,6/16/2014 17:04,6/16/2014 17:28,1,,Female,1,1,,1,1,1,4,5,2,6,5,6,5,6,4,1,5,2,6,5,5,6,7,4,,,,,,,,,,,,,,,,,,,,1,185,62,88,2,5,,,,
R_ezywd8FsYu7oq3z,Default Response Set,,,,,0,6/16/2014 17:37,6/16/2014 17:43,1,,Female,1,1,,1,1,1,6,6,2,7,6,6,4,6,6,1,5,4,6,6,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,43,72,1,4,,,,
R_aag4TAIpc9CtoZT,Default Response Set,,,,,0,6/16/2014 17:46,6/16/2014 17:49,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,6,4,6,5,6,6,5,2,5,6,6,5,5,3,3,1,187,58,86,2,5,,,,
R_dcA0kSE1n3kNXff,Default Response Set,,,,,0,6/16/2014 17:35,6/16/2014 17:56,1,,Female,1,1,,1,1,1,4,4,4,6,6,5,6,4,6,4,5,4,4,6,4,4,4,2,,,,,,,,,,,,,,,,,,,,1,187,60,92,1,5,,,,
R_em4zRkHyBry5iFD,Default Response Set,,,,,0,6/16/2014 17:57,6/16/2014 17:57,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9sG2jcGNesmf8Ut,Default Response Set,,,,,0,6/16/2014 17:57,6/16/2014 18:07,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,4,3,4,6,5,5,2,3,7,6,6,4,2,2,3,4,1,1,84,66,91,1,5,,,,
R_6G3cpdW7XWfGMbH,Default Response Set,,,,,0,6/16/2014 18:19,6/16/2014 18:23,1,,Female,1,1,,1,6,1,6,5,2,7,6,6,6,6,6,2,4,6,6,6,6,6,6,4,,,,,,,,,,,,,,,,,,,,1,187,58,89,2,5,,,,
R_3w7OnFJ3zbV5DOR,Default Response Set,,,,,0,6/16/2014 18:24,6/16/2014 18:25,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9nxWyskfWs7VXFP,Default Response Set,,,,,0,6/16/2014 18:08,6/16/2014 18:27,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,4,7,6,7,7,6,5,6,6,6,4,6,5,6,5,3,2,1,187,33,69,1,4,,,,
R_dmVBzrKWfArZ0Oh,Default Response Set,,,,,0,6/16/2014 18:24,6/16/2014 18:29,1,,Female,1,1,,1,1,1,5,5,2,5,5,5,4,5,5,5,5,4,5,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,1,187,58,87,1,4,,,,
R_a5jRmli4siRI4Pr,Default Response Set,,,,,0,6/16/2014 17:59,6/16/2014 18:29,1,,Female,1,1,,1,1,1,3,7,6,5,6,3,5,2,6,5,6,6,7,6,4,2,7,4,,,,,,,,,,,,,,,,,,,,1,168,35,66,1,4,,,,
R_1T7zWrDJ3hQfEfb,Default Response Set,,,,,0,6/16/2014 18:25,6/16/2014 18:32,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,53,49,82,2,4,,,,
R_9EokscgianZ6Cqh,Default Response Set,,,,,0,6/16/2014 18:48,6/16/2014 18:54,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,3,4,5,4,4,3,5,3,5,4,4,5,4,4,2,4,3,1,31,51,78,1,4,,,,
R_a9stSH1LfEskvyt,Default Response Set,,,,,0,6/16/2014 19:00,6/16/2014 19:06,1,,Female,1,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,2,4,,,,,,,,,,,,,,,,,,,,1,179,59,93,1,4,,,,
R_3w3qLZH2sFCdTiB,Default Response Set,,,,,0,6/16/2014 18:43,6/16/2014 19:07,1,,Female,1,1,,1,1,1,5,5,3,6,7,6,3,6,6,5,5,6,6,6,6,6,3,2,,,,,,,,,,,,,,,,,,,,1,187,61,95,1,5,,,,
R_8nLQ51XbWfQhrVz,Default Response Set,,,,,0,6/16/2014 19:14,6/16/2014 19:18,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,5,4,5,5,3,5,3,4,4,4,6,6,6,5,3,4,1,187,44,75,1,5,,,,
R_beLnQCo2N1R8f7n,Default Response Set,,,,,0,6/16/2014 20:08,6/16/2014 20:11,1,,Female,1,1,,1,1,1,7,6,5,7,7,7,5,6,7,3,6,6,6,7,7,7,7,5,,,,,,,,,,,,,,,,,,,,1,122,56,91,2,4,,,,
R_6s8HImYIC2QmOaN,Default Response Set,,,,,0,6/16/2014 20:18,6/16/2014 20:19,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6PC7mZvPQXr4RI9,Default Response Set,,,,,0,6/16/2014 20:45,6/16/2014 20:45,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bkB7N1kLHDC8AFT,Default Response Set,,,,,0,6/16/2014 20:45,6/16/2014 20:45,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bm6Ismazkg0RswJ,Default Response Set,,,,,0,6/16/2014 20:43,6/16/2014 20:50,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,5,5,6,6,5,6,4,4,4,5,6,6,6,5,3,1,60,60,90,1,5,,,,
R_1Il6sgtGA33Gcex,Default Response Set,,,,,0,6/16/2014 20:51,6/16/2014 21:08,1,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,3,4,5,5,2,3,5,5,5,3,4,4,4,1,2,5,3,1,1,24,62,99,1,4,,,,
R_51t1d4ZxfRym0h7,Default Response Set,,,,,0,6/16/2014 21:32,6/16/2014 21:35,1,,Female,1,1,,1,1,1,7,7,4,6,6,6,6,6,7,6,6,5,6,6,6,4,7,4,,,,,,,,,,,,,,,,,,,,1,187,65,93,2,5,,,,
R_4VB3uWHVuPfSa8Z,Default Response Set,,,,,0,6/16/2014 22:24,6/16/2014 22:29,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,179,45,75,1,4,,,,
R_5nxUr9x7EtXBGtv,Default Response Set,,,,,0,6/16/2014 22:45,6/16/2014 23:02,1,,Male,1,1,,1,2,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,65,29,55,1,4,,,,
R_elcoM4gk8bE0Xpr,Default Response Set,,,,,0,6/16/2014 23:01,6/16/2014 23:06,1,,Female,1,1,,1,1,1,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,,,,,,,,,,,,,,,,,,,,1,24,29,64,1,4,,,,
R_9ZfDa2F1yl2zf6t,Default Response Set,,,,,0,6/16/2014 23:26,6/16/2014 23:30,1,,Female,1,1,,1,1,1,6,6,6,6,6,6,6,6,6,6,4,6,6,4,2,4,2,3,,,,,,,,,,,,,,,,,,,,1,187,39,66,1,4,,,,
R_dmw3kbcOr3adrlr,Default Response Set,,,,,0,6/16/2014 23:43,6/16/2014 23:46,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,163,58,87,1,5,,,,
R_9NbWyfCJ9IppsIl,Default Response Set,,,,,0,6/16/2014 23:51,6/17/2014 0:01,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,6,5,6,5,6,6,6,3,6,4,3,5,3,6,3,5,1,187,54,84,1,4,,,,
R_cVeazTUhlSpiZ9j,Default Response Set,,,,,0,6/17/2014 0:33,6/17/2014 0:40,1,,Female,1,1,,1,1,1,4,6,4,4,5,6,4,5,5,6,6,4,5,5,6,5,6,4,,,,,,,,,,,,,,,,,,,,1,86,49,82,1,4,,,,
R_3gR3MnqtFJJruUl,Default Response Set,,,,,0,6/17/2014 1:27,6/17/2014 1:30,1,,Female,1,1,,1,1,1,6,6,6,6,6,6,2,6,6,6,2,6,6,6,6,6,4,6,,,,,,,,,,,,,,,,,,,,1,9,21,46,1,5,,,,
R_3rwq8ruW1J0mz2Z,Default Response Set,,,,,0,6/17/2014 1:37,6/17/2014 1:37,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_781Si29xD5DFAZn,Default Response Set,,,,,0,6/17/2014 1:44,6/17/2014 1:49,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,3,5,5,6,5,6,5,5,6,5,6,5,6,5,5,3,1,9,35,72,1,4,,,,
R_81Vquzicmyj7ByJ,Default Response Set,,,,,0,6/17/2014 2:16,6/17/2014 2:19,1,,Female,1,1,,1,1,1,5,6,3,5,6,6,5,6,5,6,4,5,6,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,1,9,62,94,2,5,,,,
R_5jXFhj0PlNGDksl,Default Response Set,,,,,0,6/17/2014 2:29,6/17/2014 2:35,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,1,36,47,77,1,5,,,,
R_brV4fsrVhXgZ7Yp,Default Response Set,,,,,0,6/17/2014 3:22,6/17/2014 3:29,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,6,3,5,4,6,3,5,2,4,3,4,6,5,4,4,2,1,156,67,94,1,5,,,,
R_a3jJBYxHiZIRV3v,Default Response Set,,,,,0,6/17/2014 3:51,6/17/2014 3:52,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0JrLLoRD3t2UnbL,Default Response Set,,,,,0,6/17/2014 4:07,6/17/2014 4:07,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dir7UG0YriSQ97v,Default Response Set,,,,,0,6/17/2014 6:22,6/17/2014 6:25,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bPhGxNiupHg18Kp,Default Response Set,,,,,0,6/16/2014 17:10,6/17/2014 7:17,1,,Female,1,1,,1,1,1,7,7,4,4,7,7,4,7,7,1,1,4,7,4,4,7,4,4,,,,,,,,,,,,,,,,,,,,1,140,49,80,1,4,,,,
R_0lkcObMnPQaIvvT,Default Response Set,,,,,0,6/17/2014 7:53,6/17/2014 7:54,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0NaapcAUIMShU69,Default Response Set,,,,,0,6/17/2014 8:29,6/17/2014 8:35,1,,Female,1,1,,1,1,1,5,6,3,6,6,7,3,3,6,3,6,4,6,7,7,4,5,4,,,,,,,,,,,,,,,,,,,,1,142,67,94,2,5,,,,
R_ellmB0xp1h8mgPH,Default Response Set,,,,,0,6/17/2014 9:30,6/17/2014 9:36,1,,Male,1,1,,1,2,,,,,,,,,,,,,,,,,,,,1,6,6,6,4,5,6,5,6,6,5,4,4,6,6,6,6,6,5,1,17,29,58,1,4,,,,
R_0DGKkMcG7t7Mrfn,Default Response Set,,,,,0,6/17/2014 9:49,6/17/2014 9:56,1,,Female,1,1,,1,1,1,4,4,4,4,4,6,4,6,6,2,2,5,4,4,3,4,5,2,,,,,,,,,,,,,,,,,,,,1,17,61,93,2,5,,,,
R_6X8RQ76nlntbgLX,Default Response Set,,,,,0,6/17/2014 9:58,6/17/2014 10:04,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,153,51,84,2,5,,,,
R_ezieKdVakMcYOvb,Default Response Set,,,,,0,6/17/2014 11:46,6/17/2014 11:51,1,,Female,1,1,,1,1,1,6,6,2,6,6,6,5,6,6,3,3,5,7,7,6,4,7,5,,,,,,,,,,,,,,,,,,,,1,17,58,94,2,4,,,,
R_0e7WPFz7LL61fGl,Default Response Set,,,,,0,6/17/2014 12:18,6/17/2014 12:34,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,1,5,2,5,7,2,6,2,1,2,2,6,3,2,3,6,2,1,142,38,78,1,4,,,,
R_8BOVuADkm7JRgOh,Default Response Set,,,,,0,6/17/2014 13:08,6/17/2014 13:23,1,,Female,1,1,,1,1,1,6,5,4,5,6,6,2,6,3,5,4,5,6,5,4,3,4,2,,,,,,,,,,,,,,,,,,,,1,48,59,95,1,4,,,,
R_40IV4EqYRszncEt,Default Response Set,,,,,0,6/17/2014 13:31,6/17/2014 13:59,1,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,5,4,3,5,5,5,6,5,5,3,5,4,6,4,4,4,5,4,1,161,54,96,2,5,,,,
R_50Vhgo0z1LYJkvH,Default Response Set,,,,,0,6/17/2014 15:07,6/17/2014 15:23,1,,Female,1,1,,2,,1,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,1,156,68,97,1,5,,,,
R_9TfIqbhap9Ad74F,Default Response Set,,,,,0,6/17/2014 15:57,6/17/2014 16:05,1,,Female,1,1,,1,1,1,6,6,4,6,7,6,4,6,6,4,5,6,6,6,7,6,5,2,,,,,,,,,,,,,,,,,,,,1,187,39,68,1,4,,,,
R_233OxRH4JR1SX1b,Default Response Set,,,,,0,6/17/2014 21:14,6/17/2014 21:26,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,2,6,5,5,3,3,4,2,5,5,5,4,4,6,4,2,1,36,63,89,2,5,,,,
R_da4YUdjH8rm9Slf,Default Response Set,,,,,0,6/17/2014 23:02,6/17/2014 23:06,1,,Female,1,1,,1,1,1,6,4,2,6,6,6,4,4,6,4,4,4,6,2,4,4,4,2,,,,,,,,,,,,,,,,,,,,1,65,56,90,1,4,,,,
R_afsoPlFb0KTGXid,Default Response Set,,,,,0,6/18/2014 4:02,6/18/2014 4:07,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,2,4,3,4,3,3,3,2,5,4,5,3,2,3,4,2,1,140,50,79,1,5,,,,
R_7R4l6e80NUb4VLv,Default Response Set,,,,,0,6/11/2014 13:02,6/11/2014 13:03,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2uIg38aPVWf1L0h,Default Response Set,,,,,0,6/11/2014 13:19,6/11/2014 13:20,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0vRfgq65qLZNkLr,Default Response Set,,,,,0,6/11/2014 13:36,6/11/2014 13:37,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bDwVZrrhyVDDCap,Default Response Set,,,,,0,6/11/2014 13:40,6/11/2014 13:44,0,,Female,1,1,,1,1,1,6,6,6,7,6,6,2,6,6,6,6,7,7,6,2,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aXdWzYT1u9Pam4B,Default Response Set,,,,,0,6/11/2014 13:45,6/11/2014 13:47,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FWYyDj5tpfy3M9,Default Response Set,,,,,0,6/11/2014 13:48,6/11/2014 13:49,0,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2s1F1Jaurrg5xTD,Default Response Set,,,,,0,6/11/2014 13:54,6/11/2014 13:56,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,4,4,,4,4,4,4,,4,,2,,,,,,,,,,,,,
R_bNLJOEwkMbcSS2N,Default Response Set,,,,,0,6/11/2014 13:53,6/11/2014 13:57,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cNoiBNZhyDvRbrn,Default Response Set,,,,,0,6/11/2014 13:54,6/11/2014 13:58,0,,Female,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_727vtuADRmmDtU9,Default Response Set,,,,,0,6/11/2014 13:58,6/11/2014 14:00,0,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8eQUEkIFOpMDUQl,Default Response Set,,,,,0,6/11/2014 14:04,6/11/2014 14:06,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3lsoxEn2K3JmpiR,Default Response Set,,,,,0,6/11/2014 14:10,6/11/2014 14:10,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9mjWx0qyfsNM5ud,Default Response Set,,,,,0,6/11/2014 14:19,6/11/2014 14:25,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6lmIZym89GLftu5,Default Response Set,,,,,0,6/11/2014 14:27,6/11/2014 14:29,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1GQMInP9sGwMLQx,Default Response Set,,,,,0,6/11/2014 14:38,6/11/2014 14:39,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_801lkhlCMM2Aowl,Default Response Set,,,,,0,6/11/2014 14:43,6/11/2014 14:44,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6XqT9UCbsZi5top,Default Response Set,,,,,0,6/11/2014 15:02,6/11/2014 15:03,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_88miQOUoZaYz5it,Default Response Set,,,,,0,6/11/2014 15:12,6/11/2014 15:12,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3XivnvPVYI5EQuh,Default Response Set,,,,,0,6/11/2014 15:22,6/11/2014 15:23,0,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7aDORO3EGlGmU6h,Default Response Set,,,,,0,6/11/2014 15:35,6/11/2014 15:36,0,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3sBJ40QhRPYuOy1,Default Response Set,,,,,0,6/18/2014 15:40,6/18/2014 15:41,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dndTnxjUV6V6WuF,Default Response Set,,,,,0,6/18/2014 16:04,6/18/2014 16:18,1,,Male,1,1,,1,2,,,,,,,,,,,,,,,,,,,,1,3,3,3,6,6,6,3,6,5,6,7,7,6,6,7,5,2,2,1,185,15,54,1,5,,,,
R_7QIhyfCdNUOHz8N,Default Response Set,,,,,0,6/11/2014 18:44,6/11/2014 18:46,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3rvi837mX3a0nZj,Default Response Set,,,,,0,6/11/2014 19:41,6/11/2014 19:42,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5vFjfBNi8JlMYFD,Default Response Set,,,,,0,6/11/2014 19:41,6/11/2014 19:45,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eQkFdr8tLfo70TX,Default Response Set,,,,,0,6/11/2014 20:05,6/11/2014 20:06,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cIJRSq5AxHHp5OZ,Default Response Set,,,,,0,6/18/2014 20:30,6/18/2014 20:33,1,,Female,1,1,,1,1,1,6,6,5,6,3,6,4,6,6,2,2,6,6,5,2,6,6,2,,,,,,,,,,,,,,,,,,,,1,17,38,73,1,4,,,,
R_bHKJRT9SZ2yCikB,Default Response Set,,,,,0,6/11/2014 20:37,6/11/2014 20:39,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9Tt4sCdnRNe2hal,Default Response Set,,,,,0,6/11/2014 20:44,6/11/2014 20:45,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9XdVfyJcbs8VZlP,Default Response Set,,,,,0,6/11/2014 20:52,6/11/2014 20:54,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1TEiEzwRZwoakcd,Default Response Set,,,,,0,6/11/2014 23:08,6/11/2014 23:11,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2lUEWiFKMoiz5pb,Default Response Set,,,,,0,6/12/2014 0:10,6/12/2014 0:13,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3ftIVEus5ehSe8J,Default Response Set,,,,,0,6/12/2014 2:05,6/12/2014 2:06,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9TBYH9ZtsVbgzxr,Default Response Set,,,,,0,6/19/2014 2:33,6/19/2014 2:39,1,,Female,1,1,,1,1,1,4,4,4,3,3,4,4,5,5,3,4,2,5,4,4,5,3,5,,,,,,,,,,,,,,,,,,,,1,36,42,71,1,4,,,,
R_7aMTtbl4roMzSrH,Default Response Set,,,,,0,6/11/2014 16:15,6/12/2014 8:44,0,,Female,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5Ban5knzY1SnOqp,Default Response Set,,,,,0,6/12/2014 9:26,6/12/2014 9:32,0,,Female,1,1,,1,1,1,4,5,6,4,3,6,4,3,4,4,4,4,4,6,6,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2mAMaUGnZXFGZj7,Default Response Set,,,,,0,6/19/2014 11:34,6/19/2014 11:35,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_brBUYnur2siiqQB,Default Response Set,,,,,0,6/12/2014 9:06,6/12/2014 12:21,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_24yFeglx7Q47Awt,Default Response Set,,,,,0,6/12/2014 15:09,6/12/2014 15:14,0,,Female,1,1,,1,6,1,4,,,4,,,,,4,2,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cS9VW7yCQZcsnaJ,Default Response Set,,,,,0,6/19/2014 15:10,6/19/2014 15:15,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,1,1,2,2,4,2,3,3,1,1,1,6,2,1,2,2,1,1,65,49,86,1,4,,,,
R_eLL4QihsE9jmqPj,Default Response Set,,,,,0,6/12/2014 15:47,6/12/2014 15:48,0,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_79S02t4MA4sTEFv,Default Response Set,,,,,0,6/18/2014 11:35,6/19/2014 17:56,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,4,3,4,4,4,5,4,4,3,4,4,5,3,4,3,3,2,1,185,40,66,1,4,,,,
R_9RBVFdBV9q26BKd,Default Response Set,,,,,0,6/20/2014 0:51,6/20/2014 1:01,1,,Female,1,1,,1,1,1,5,3,2,6,2,5,5,6,5,3,2,2,5,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,1,111,9,49,1,4,,,,
R_0rJ0b2iOnbUJCh7,Default Response Set,,,,,0,6/13/2014 6:29,6/13/2014 6:30,0,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
