"","Start_time","End_time","Finished","Screening","Condition","Intro","Consent","Reason_nc","Check_phd","Check_work_status","Check_phd_research","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Tenure","Feedback","Target"
"823","6/27/2014 9:35","6/27/2014 9:40","1",NA,"Early","1","1",NA,"1","1",NA,3,6,4,4,7,7,2,NA,6,1,1,2,6,5,6,2,1,2,"61","67","94","1","5",NA,"Early-career Scientists"
"824","6/27/2014 9:35","6/27/2014 9:40","1",NA,"Established","1","1",NA,"1","1",NA,7,7,5,7,7,7,7,7,7,5,7,6,7,7,7,5,4,1,"122","56","84","1","4",NA,"Established Scientists"
"825","6/27/2014 9:34","6/27/2014 9:41","1",NA,"Early","1","1",NA,"1","1",NA,3,4,4,5,4,5,3,4,4,6,2,4,4,4,4,6,6,4,NA,"43","72","1","4",NA,"Early-career Scientists"
"826","6/27/2014 9:34","6/27/2014 9:41","1",NA,"Established","1","1",NA,"1","1",NA,6,3,2,7,7,7,6,6,6,5,5,5,6,6,6,2,3,2,"76","47","79","1","4",NA,"Established Scientists"
"828","6/27/2014 9:37","6/27/2014 9:42","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,2,6,4,6,5,6,6,6,4,5,5,4,6,3,3,3,"185","49","79","1","4",NA,"PhD Students"
"829","6/27/2014 9:38","6/27/2014 9:42","1",NA,"Early","1","1",NA,"1","1",NA,4,4,3,5,6,6,5,6,6,2,3,4,6,6,6,6,5,4,"61","58","84","1","4",NA,"Early-career Scientists"
"830","6/27/2014 9:38","6/27/2014 9:42","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,4,6,6,6,4,5,5,4,2,4,5,5,5,3,3,3,"84","64","92","1","5",NA,"PhD Students"
"831","6/27/2014 9:22","6/27/2014 9:43","1",NA,"Early","1","1",NA,"1","1",NA,3,5,2,2,3,3,5,3,4,5,2,2,6,3,4,5,5,2,"168","50","78","1","4",NA,"Early-career Scientists"
"832","6/27/2014 9:29","6/27/2014 9:43","1",NA,"Established","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"80","56","85","1","4",NA,"Established Scientists"
"833","6/27/2014 9:37","6/27/2014 9:44","1",NA,"Established","1","1",NA,"1","1",NA,6,6,7,6,5,6,6,6,6,1,2,3,6,6,7,4,5,2,"61","51","79","1","4",NA,"Established Scientists"
"834","6/27/2014 9:33","6/27/2014 9:44","1",NA,"Early","1","1",NA,"1","1",NA,5,2,2,4,5,5,3,5,5,2,5,4,6,4,5,3,4,2,"65","61","90","2","5",NA,"Early-career Scientists"
"835","6/27/2014 9:39","6/27/2014 9:44","1",NA,"Established","1","1",NA,"1","1",NA,4,5,4,5,5,5,4,5,5,4,4,5,5,5,6,4,3,2,"168","51","86","1","4",NA,"Established Scientists"
"836","6/27/2014 9:41","6/27/2014 9:45","1",NA,"Early","1","1",NA,"1","1",NA,6,5,6,6,6,5,3,6,6,3,4,5,6,6,5,5,6,3,"65","57","87","1","4",NA,"Early-career Scientists"
"837","6/27/2014 9:37","6/27/2014 9:46","1",NA,"Early","1","1",NA,"1","1",NA,3,3,3,6,5,5,3,5,5,3,5,3,5,6,6,3,5,3,"185","38","70","1","4",NA,"Early-career Scientists"
"838","6/27/2014 9:42","6/27/2014 9:46","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,3,3,5,6,6,6,6,5,5,6,5,6,6,6,6,4,"168","45","81","2","4",NA,"PhD Students"
"839","6/27/2014 9:43","6/27/2014 9:48","1",NA,"Early","1","1",NA,"1","1",NA,6,5,2,6,6,6,3,6,2,6,3,2,5,3,2,6,5,2,"84","61","91","2","5",NA,"Early-career Scientists"
"840","6/27/2014 9:32","6/27/2014 9:50","1",NA,"PhD","1","1",NA,"1","1",NA,7,5,6,6,5,7,4,6,6,3,5,3,6,7,7,6,5,4,"86","47","72","1","4",NA,"PhD Students"
"842","6/27/2014 9:43","6/27/2014 9:51","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,5,6,6,6,6,7,7,5,5,6,7,6,6,6,7,5,NA,"46",NA,"1","4",NA,"PhD Students"
"843","6/27/2014 9:48","6/27/2014 9:52","1",NA,"Early","1","1",NA,"1","1",NA,4,4,3,5,5,5,4,4,4,5,5,5,5,5,5,4,4,2,"187","30","56","1","4",NA,"Early-career Scientists"
"844","6/27/2014 9:46","6/27/2014 9:53","1",NA,"Established","1","1",NA,"2",NA,"1",5,6,2,6,6,6,6,6,6,3,2,3,6,7,7,5,6,3,"60","63","95","2","4",NA,"Established Scientists"
"845","6/27/2014 9:49","6/27/2014 9:53","1",NA,"PhD","1","1",NA,"1","1",NA,4,4,2,5,6,5,4,3,4,5,3,3,5,5,4,3,3,2,"84","52","85","1","4",NA,"PhD Students"
"848","6/27/2014 9:44","6/27/2014 9:55","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,5,5,6,5,3,5,5,2,1,2,6,5,4,2,3,1,"78","59","90","1","4",NA,"PhD Students"
"849","6/27/2014 9:52","6/27/2014 9:55","1",NA,"Early","1","1",NA,"1","1",NA,5,4,3,4,5,6,3,6,6,4,5,5,6,3,5,3,3,2,"185","44","72","2","4",NA,"Early-career Scientists"
"850","6/27/2014 9:53","6/27/2014 9:56","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,"157","40","72","1","4",NA,"Established Scientists"
"851","6/27/2014 9:54","6/27/2014 9:56","1",NA,"Established","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"185","31","59","1","4",NA,"Established Scientists"
"852","6/27/2014 9:50","6/27/2014 9:57","1",NA,"Established","1","1",NA,"1","1",NA,4,5,6,3,5,4,5,6,3,3,5,5,5,4,7,5,3,2,"65","25","51","1","4",NA,"Established Scientists"
"853","6/27/2014 9:53","6/27/2014 9:58","1",NA,"Early","1","1",NA,"1","1",NA,6,6,4,6,6,4,6,6,6,2,4,3,7,6,6,4,4,2,"61","51","81","1","4",NA,"Early-career Scientists"
"854","6/27/2014 9:55","6/27/2014 10:00","1",NA,"Early","1","1",NA,"1","1",NA,5,5,6,6,5,4,5,5,5,6,3,4,5,3,4,4,5,3,"84","43","90","1","4",NA,"Early-career Scientists"
"855","6/27/2014 9:58","6/27/2014 10:02","1",NA,"PhD","1","1",NA,"1","1",NA,5,4,6,5,5,5,5,6,5,5,4,6,6,6,6,5,6,4,"83","35","69","1","4",NA,"PhD Students"
"856","6/27/2014 9:57","6/27/2014 10:02","1",NA,"Early","1","1",NA,"1","1",NA,3,3,3,5,5,5,3,3,3,4,2,3,5,3,3,2,2,2,"187","54","84","1","4",NA,"Early-career Scientists"
"857","6/27/2014 9:55","6/27/2014 10:02","1",NA,"PhD","1","1",NA,"2",NA,"1",2,4,4,5,4,4,4,6,5,7,1,1,6,6,7,3,2,2,"123","42","80","1","4",NA,"PhD Students"
"858","6/27/2014 9:53","6/27/2014 10:02","1",NA,"PhD","1","1",NA,"1","1",NA,3,5,4,3,5,5,3,5,6,3,3,4,5,3,3,2,4,2,"65","47","77","1","4",NA,"PhD Students"
"859","6/27/2014 9:57","6/27/2014 10:02","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,3,4,3,3,3,5,5,4,2,2,3,3,5,5,4,5,"185","27","56","1","4",NA,"PhD Students"
"860","6/27/2014 9:55","6/27/2014 10:03","1",NA,"Established","1","1",NA,"1","1",NA,5,7,2,6,6,6,6,6,7,3,6,7,6,6,7,2,7,7,"36","57","85","2","4",NA,"Established Scientists"
"861","6/27/2014 9:53","6/27/2014 10:04","1",NA,"Established","1","1",NA,"1","1",NA,5,5,6,6,5,6,5,4,4,4,5,6,5,5,6,5,4,5,"94","64","92","1","5",NA,"Established Scientists"
"862","6/27/2014 10:03","6/27/2014 10:06","1",NA,"PhD","1","1",NA,"1","1",NA,5,4,3,4,4,4,4,4,6,2,3,4,6,4,4,5,3,2,"84","41","93","1","4",NA,"PhD Students"
"863","6/27/2014 10:01","6/27/2014 10:06","1",NA,"Early","1","1",NA,"1","1",NA,6,6,2,3,3,4,3,3,3,2,2,2,6,3,4,2,6,2,"83","50","88","2","4",NA,"Early-career Scientists"
"864","6/27/2014 10:03","6/27/2014 10:07","1",NA,"Early","1","1",NA,"1","1",NA,7,5,5,7,6,6,6,7,6,6,6,7,5,6,6,5,5,4,"10","47","78","2","4",NA,"Early-career Scientists"
"865","6/27/2014 10:05","6/27/2014 10:08","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,4,5,5,5,5,5,6,4,4,3,6,6,6,6,5,2,"185","29","53","1","4",NA,"PhD Students"
"866","6/27/2014 10:03","6/27/2014 10:09","1",NA,"Established","1","1",NA,"1","1",NA,2,5,5,5,5,3,3,5,5,1,3,4,3,3,3,2,1,1,"84","39","66","2","4",NA,"Established Scientists"
"867","6/27/2014 10:04","6/27/2014 10:09","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,1,6,6,6,6,6,6,2,6,4,6,6,6,6,2,2,"185","33","58","1","4",NA,"PhD Students"
"868","6/27/2014 10:01","6/27/2014 10:09","1",NA,"Early","1","1",NA,"1","1",NA,5,3,6,4,2,5,5,4,5,4,4,4,6,5,6,5,6,2,"84","55","88","2","4",NA,"Early-career Scientists"
"869","6/27/2014 10:04","6/27/2014 10:09","1",NA,"Early","1","1",NA,"1","1",NA,6,4,4,5,6,6,6,6,6,4,5,5,6,7,7,5,4,3,"9","44","89","2","4",NA,"Early-career Scientists"
"870","6/27/2014 10:01","6/27/2014 10:10","1",NA,"Established","1","1",NA,"1","1",NA,5,6,3,6,6,6,6,5,2,3,2,3,7,7,7,6,7,4,"163","54","92","2","4",NA,"Established Scientists"
"871","6/27/2014 10:00","6/27/2014 10:12","1",NA,"Established","1","1",NA,"1","1",NA,6,6,4,6,6,6,NA,7,6,4,6,5,6,7,NA,7,6,3,"65","51","84","2","4",NA,"Established Scientists"
"872","6/27/2014 10:10","6/27/2014 10:13","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,5,5,5,6,6,6,5,2,3,2,5,5,3,5,3,2,"61","61","87","2","5",NA,"PhD Students"
"873","6/27/2014 10:08","6/27/2014 10:13","1",NA,"Established","1","1",NA,"1","1",NA,6,6,3,4,7,5,6,7,7,4,4,4,2,2,2,2,4,2,"163","41","67","1","4",NA,"Established Scientists"
"874","6/27/2014 10:11","6/27/2014 10:15","1",NA,"Established","1","1",NA,"1","1",NA,3,3,3,5,4,5,6,3,3,4,5,5,5,5,5,3,3,2,NA,NA,NA,NA,"4",NA,"Established Scientists"
"875","6/27/2014 10:10","6/27/2014 10:17","1",NA,"Early","1","1",NA,"1","1",NA,4,3,3,5,5,4,4,5,2,2,2,2,4,4,4,5,5,3,"111","46","79","2","4",NA,"Early-career Scientists"
"876","6/27/2014 10:12","6/27/2014 10:18","1",NA,"PhD","1","1",NA,"1","1",NA,3,5,4,5,3,5,6,5,6,5,4,4,6,4,6,4,6,4,"185","50","81","2","4",NA,"PhD Students"
"877","6/27/2014 10:17","6/27/2014 10:20","1",NA,"Early","1","1",NA,"1","1",NA,5,6,3,6,6,6,5,7,6,5,6,5,6,6,6,6,5,4,"61","61","87","1","4",NA,"Early-career Scientists"
"878","6/27/2014 10:10","6/27/2014 10:21","1",NA,"Established","1","1",NA,"2",NA,"1",7,7,6,7,7,7,4,6,5,6,6,6,7,7,7,7,7,7,"153","59","95","2","4",NA,"Established Scientists"
"879","6/27/2014 10:03","6/27/2014 10:23","1",NA,"Early","1","1",NA,"1","1",NA,3,5,6,6,6,6,6,6,3,2,6,6,3,2,2,6,2,1,"36","44","74","1","4",NA,"Early-career Scientists"
"880","6/27/2014 10:18","6/27/2014 10:25","1",NA,"Established","1","1",NA,"1","1",NA,5,5,3,6,7,7,7,3,3,5,6,5,6,3,5,2,5,2,"140","41","74","1","4",NA,"Established Scientists"
"881","6/27/2014 10:21","6/27/2014 10:26","1",NA,"Early","1","1",NA,"1","1",NA,5,4,2,5,3,5,3,5,5,2,4,5,5,5,5,3,5,3,"185","63","92","1","5",NA,"Early-career Scientists"
"882","6/27/2014 10:25","6/27/2014 10:28","1",NA,"Established","1","1",NA,"1","1",NA,5,5,2,6,6,6,6,5,6,2,2,5,6,5,7,3,5,2,"122","64","94","1","5",NA,"Established Scientists"
"883","6/27/2014 10:20","6/27/2014 10:29","1",NA,"PhD","1","1",NA,"1","1",NA,NA,6,6,6,5,6,2,6,6,3,6,2,7,6,6,6,6,2,"83","56","89","2","4",NA,"PhD Students"
"884","6/27/2014 10:22","6/27/2014 10:30","1",NA,"Established","1","1",NA,"1","1",NA,4,6,2,6,7,5,6,3,7,2,6,6,6,6,7,6,4,2,"163","30","59","1","4",NA,"Established Scientists"
"886","6/27/2014 10:25","6/27/2014 10:31","1",NA,"PhD","1","1",NA,"1","1",NA,3,2,2,5,2,4,4,4,4,4,2,2,6,4,3,2,4,2,"65","37","65","2","4",NA,"PhD Students"
"887","6/27/2014 10:24","6/27/2014 10:32","1",NA,"PhD","1","1",NA,"1","1",NA,6,7,2,5,5,6,3,5,3,1,1,2,7,7,7,7,6,5,"61","66","93","1","4",NA,"PhD Students"
"888","6/27/2014 10:24","6/27/2014 10:34","1",NA,"Established","1","1",NA,"1","1",NA,3,2,2,6,3,3,3,5,2,3,6,6,3,2,6,2,2,2,NA,"35","64","2","4",NA,"Established Scientists"
"889","6/27/2014 10:24","6/27/2014 10:34","1",NA,"Early","1","1",NA,"1","1",NA,4,5,6,6,6,6,5,6,5,4,6,6,6,6,4,5,5,5,"179","49","79","2","4",NA,"Early-career Scientists"
"890","6/27/2014 10:25","6/27/2014 10:35","1",NA,"Early","1","1",NA,"1","1",NA,5,6,3,6,6,6,6,5,5,5,5,4,6,6,6,3,5,2,"163","41","69","1","4",NA,"Early-career Scientists"
"892","6/27/2014 10:22","6/27/2014 10:40","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,3,4,5,5,5,6,6,4,4,4,6,6,6,5,3,2,"172","53","89","1","4",NA,"PhD Students"
"893","6/27/2014 10:22","6/27/2014 10:40","1",NA,"Early","1","1",NA,"1","1",NA,5,5,3,3,6,6,3,5,3,4,3,3,6,5,5,5,5,2,"36","54","83","2","4",NA,"Early-career Scientists"
"895","6/27/2014 10:38","6/27/2014 10:42","1",NA,"Early","1","1",NA,"1","1",NA,6,6,5,6,7,5,6,6,5,5,6,6,5,6,6,5,5,6,"156","45","80","1","4",NA,"Early-career Scientists"
"896","6/27/2014 10:04","6/27/2014 10:42","1",NA,"Established","1","1",NA,"1","1",NA,5,7,7,6,7,7,6,6,4,2,3,2,7,7,7,6,3,7,"61","57","85","2","5",NA,"Established Scientists"
"897","6/27/2014 10:27","6/27/2014 10:47","1",NA,"Established","1","1",NA,"1","1",NA,7,6,6,7,7,7,6,6,7,2,6,6,7,7,4,5,7,4,"65","32","58","1","4",NA,"Established Scientists"
"898","6/27/2014 10:44","6/27/2014 10:47","1",NA,"Early","1","1",NA,"1","1",NA,5,5,4,6,5,5,3,3,6,2,2,4,5,5,5,3,5,5,"163","58","88","1","5",NA,"Early-career Scientists"
"900","6/27/2014 10:42","6/27/2014 10:50","1",NA,"Established","1","1",NA,"1","1",NA,5,6,6,5,6,5,6,6,5,6,6,5,6,6,6,6,5,5,"153","48","93","1","4",NA,"Established Scientists"
"901","6/27/2014 10:45","6/27/2014 10:50","1",NA,"Established","1","1",NA,"1","6",NA,5,5,4,7,6,6,6,6,6,4,4,4,6,6,6,6,6,6,"163","63","93","1","5",NA,"Established Scientists"
"902","6/27/2014 10:35","6/27/2014 10:51","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,5,6,5,6,5,5,5,5,6,6,6,6,5,5,5,5,"80","65","94","1","4",NA,"PhD Students"
"903","6/27/2014 10:12","6/27/2014 10:51","1",NA,"PhD","1","1",NA,"1","1",NA,5,7,6,7,5,6,7,5,5,3,5,4,5,7,7,3,5,4,"36","56","87","2","5",NA,"PhD Students"
"904","6/27/2014 10:41","6/27/2014 10:53","1",NA,"Early","1","1",NA,"1","1",NA,6,7,6,6,5,6,6,7,5,4,6,6,7,7,7,6,6,3,"142","32","78","1","5",NA,"Early-career Scientists"
"905","6/27/2014 10:52","6/27/2014 10:54","1",NA,"PhD","1","1",NA,"1","1",NA,2,3,2,2,3,3,2,2,2,2,5,3,4,2,5,2,3,3,"122","43","73","1","5",NA,"PhD Students"
"906","6/27/2014 10:52","6/27/2014 10:55","1",NA,"Early","1","1",NA,"1","1",NA,6,5,3,7,6,6,6,6,6,4,3,5,7,7,7,7,5,3,"185","66","93","1","5",NA,"Early-career Scientists"
"907","6/27/2014 10:51","6/27/2014 10:55","1",NA,"Established","1","1",NA,"1","1",NA,2,5,2,6,7,7,6,3,6,5,5,6,5,6,6,5,2,2,"65","60","91","1","5",NA,"Established Scientists"
"908","6/27/2014 10:48","6/27/2014 10:57","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,4,2,4,6,5,5,6,3,6,4,6,4,6,5,7,1,"83","35","69","1","5",NA,"PhD Students"
"909","6/27/2014 10:50","6/27/2014 10:58","1",NA,"Early","1","1",NA,"1","1",NA,5,3,2,4,6,5,4,4,5,4,5,2,6,6,1,4,3,2,"185","45","72","1","4",NA,"Early-career Scientists"
"910","6/27/2014 10:54","6/27/2014 11:00","1",NA,"Established","1","1",NA,"1","1",NA,5,4,4,5,6,5,6,4,5,6,6,6,6,6,4,5,4,3,"185","39","74","2","4",NA,"Established Scientists"
"911","6/27/2014 10:28","6/27/2014 11:01","1",NA,"PhD","1","1",NA,"1","1",NA,3,6,4,3,6,5,5,5,4,3,1,5,6,7,6,2,5,6,"67","43","78","1","4",NA,"PhD Students"
"912","6/27/2014 10:59","6/27/2014 11:02","1",NA,"Early","1","1",NA,"1","1",NA,3,2,4,7,6,6,4,6,5,5,5,2,5,5,4,3,5,3,"185","55","83","2","4",NA,"Early-career Scientists"
"913","6/27/2014 11:00","6/27/2014 11:03","1",NA,"Established","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Established Scientists"
"914","6/27/2014 10:59","6/27/2014 11:03","1",NA,"PhD","1","1",NA,"1","1",NA,3,4,3,6,3,6,3,5,4,2,5,3,4,6,6,3,4,6,"140","63","91","1","5",NA,"PhD Students"
"915","6/27/2014 10:54","6/27/2014 11:05","1",NA,"Early","1","1",NA,"1","1",NA,5,5,3,4,5,4,4,4,5,6,5,4,5,4,4,6,4,4,"44","57","86","1","4",NA,"Early-career Scientists"
"916","6/27/2014 10:43","6/27/2014 11:05","1",NA,"PhD","1","1",NA,"1","1",NA,3,2,3,3,3,3,3,3,3,6,7,3,3,3,3,3,3,2,"80","62","90","1","4",NA,"PhD Students"
"918","6/27/2014 10:58","6/27/2014 11:08","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,3,6,7,7,2,7,5,1,1,1,6,6,5,2,3,5,"65","63","90","1","5",NA,"PhD Students"
"919","6/27/2014 11:01","6/27/2014 11:08","1",NA,"Early","1","1",NA,"1","1",NA,6,4,4,6,7,6,6,3,6,2,1,4,6,4,5,5,5,4,"65","60","92","2","4",NA,"Early-career Scientists"
"920","6/27/2014 11:02","6/27/2014 11:08","1",NA,"PhD","1","1",NA,"1","6",NA,5,3,3,5,6,6,3,5,5,2,4,4,5,5,5,3,3,3,"65","59","94","1","4",NA,"PhD Students"
"921","6/27/2014 11:11","6/27/2014 11:14","1",NA,"Early","1","1",NA,"1","6",NA,4,4,2,5,5,5,5,5,4,3,4,5,5,5,5,3,5,3,"163","57","92","1","5",NA,"Early-career Scientists"
"922","6/27/2014 11:12","6/27/2014 11:15","1",NA,"PhD","1","1",NA,"2",NA,"1",7,6,5,6,5,7,6,6,5,7,1,1,7,7,7,7,7,1,"138","63","95","1","5",NA,"PhD Students"
"923","6/27/2014 11:16","6/27/2014 11:19","1",NA,"Established","1","1",NA,"1","1",NA,7,7,2,7,7,7,6,7,7,7,7,7,7,7,7,4,7,2,"65","48","79","1","4",NA,"Established Scientists"
"924","6/27/2014 11:16","6/27/2014 11:21","1",NA,"Established","1","1",NA,"1","1",NA,3,2,3,5,2,3,3,3,5,4,2,2,4,2,3,1,1,1,"48","50","83","1","4",NA,"Established Scientists"
"928","6/27/2014 11:26","6/27/2014 11:33","1",NA,"Early","1","1",NA,"1","1",NA,4,4,4,5,3,4,3,4,4,2,5,5,4,4,4,3,3,2,"61","40","72","1","4",NA,"Early-career Scientists"
"929","6/27/2014 11:33","6/27/2014 11:38","1",NA,"PhD","1","1",NA,"1","1",NA,4,2,6,3,4,3,4,4,4,3,3,4,4,3,3,2,3,2,"67","52","81","1","4",NA,"PhD Students"
"930","6/27/2014 11:38","6/27/2014 11:43","1",NA,"Early","1","1",NA,"1","1",NA,7,6,2,7,7,6,6,7,7,2,5,4,6,6,6,6,6,4,"138","54","83","2","4",NA,"Early-career Scientists"
"931","6/27/2014 11:31","6/27/2014 11:45","1",NA,"Early","1","1",NA,"1","1",NA,6,3,2,3,2,5,5,6,6,5,2,3,5,3,2,2,6,5,"116","46","74","1","4",NA,"Early-career Scientists"
"932","6/27/2014 11:39","6/27/2014 11:45","1",NA,"Early","1","1",NA,"1","1",NA,3,2,2,3,6,6,5,6,3,2,2,2,5,4,3,2,3,2,"163","50","79","1","4",NA,"Early-career Scientists"
"933","6/27/2014 11:40","6/27/2014 11:46","1",NA,"Established","1","1",NA,"1","1",NA,5,5,2,6,6,5,6,6,6,2,3,6,6,6,6,6,2,2,"187","32","58","1","5",NA,"Established Scientists"
"934","6/27/2014 11:41","6/27/2014 11:47","1",NA,"Early","1","1",NA,"1","1",NA,6,6,2,7,6,6,6,7,6,1,2,2,6,4,6,2,2,1,"84","54","87","1","4",NA,"Early-career Scientists"
"935","6/27/2014 11:37","6/27/2014 11:47","1",NA,"Established","1","1",NA,"1","1",NA,4,4,1,5,5,5,4,4,2,1,5,4,7,5,4,4,4,4,"122","60","94","1","5",NA,"Established Scientists"
"936","6/27/2014 11:38","6/27/2014 11:48","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,3,5,5,4,5,5,6,2,3,4,6,5,6,4,4,3,"137","59","88","1","4",NA,"PhD Students"
"937","6/27/2014 10:34","6/27/2014 11:48","1",NA,"Established","1","1",NA,"1","1",NA,6,NA,6,6,6,6,6,5,6,6,7,5,6,5,5,2,3,NA,"65","41","71","1","4",NA,"Established Scientists"
"938","6/27/2014 11:15","6/27/2014 11:49","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,7,6,6,6,6,6,6,6,6,6,7,7,6,6,6,"10","66","94","1","4",NA,"Established Scientists"
"939","6/27/2014 11:34","6/27/2014 11:50","1",NA,"Established","1","1",NA,"1","1",NA,2,3,2,5,5,4,3,3,3,3,2,2,4,4,4,4,5,1,"122","34","62","1","4",NA,"Established Scientists"
"941","6/27/2014 11:47","6/27/2014 11:57","1",NA,"PhD","1","1",NA,"1","1",NA,2,2,2,5,4,2,3,5,5,1,5,4,5,6,6,2,3,2,"9","59","91","2","4",NA,"PhD Students"
"942","6/27/2014 11:50","6/27/2014 11:58","1",NA,"Established","1","1",NA,"1","1",NA,4,4,5,4,3,4,6,4,4,4,3,4,4,3,4,5,3,3,"86","43","77","1","4",NA,"Established Scientists"
"943","6/27/2014 11:51","6/27/2014 12:02","1",NA,"PhD","1","1",NA,"1","1",NA,6,2,2,6,7,7,7,7,7,3,6,3,6,6,6,1,4,2,"185","45","81","1","5",NA,"PhD Students"
"944","6/27/2014 10:53","6/27/2014 12:04","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,6,6,7,6,6,6,5,6,6,7,7,6,6,5,"26","35","70","2","4",NA,"Established Scientists"
"945","6/27/2014 11:54","6/27/2014 12:04","1",NA,"Established","1","1",NA,"1","1",NA,5,5,1,5,5,5,5,5,5,2,5,5,4,1,4,2,4,1,"163","51","77","1","4",NA,"Established Scientists"
"946","6/27/2014 12:05","6/27/2014 12:09","1",NA,"PhD","1","1",NA,"1","1",NA,5,4,3,6,6,6,5,5,5,2,4,4,6,6,6,3,4,5,"31","56","86","1","4",NA,"PhD Students"
"948","6/27/2014 12:01","6/27/2014 12:14","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,3,7,5,5,5,6,6,5,5,2,5,5,7,3,3,3,"163","35","81","2","4",NA,"PhD Students"
"950","6/27/2014 12:19","6/27/2014 12:26","1",NA,"Established","1","1",NA,"1","1",NA,2,7,6,6,6,6,6,2,5,5,4,5,7,7,7,6,6,6,"24","16","54","1","4",NA,"Established Scientists"
"951","6/27/2014 12:17","6/27/2014 12:27","1",NA,"Established","1","1",NA,"1","1",NA,6,5,5,2,5,5,6,3,6,5,2,3,6,6,5,2,6,5,"24","43","84","1","4",NA,"Established Scientists"
"953","6/27/2014 12:26","6/27/2014 12:29","1",NA,"Early","1","1",NA,"2",NA,"1",6,5,2,6,6,6,6,6,6,3,2,2,6,6,6,3,6,3,"122","66","98","1","4",NA,"Early-career Scientists"
"954","6/27/2014 11:10","6/27/2014 12:35","1",NA,"PhD","1","1",NA,"1","1",NA,6,3,3,2,5,6,5,5,6,5,3,4,6,3,3,3,5,5,"163","58","92","1","4",NA,"PhD Students"
"955","6/27/2014 12:33","6/27/2014 12:38","1",NA,"Established","1","1",NA,"1","1",NA,4,6,2,6,3,6,4,3,7,2,6,5,5,2,2,2,6,1,"24","45","75","1","4",NA,"Established Scientists"
"956","6/27/2014 12:33","6/27/2014 12:39","1",NA,"PhD","1","1",NA,"1","1",NA,4,4,4,4,5,5,5,4,3,5,6,4,5,6,6,4,5,3,"86","40","67","1","4",NA,"PhD Students"
"958","6/27/2014 12:39","6/27/2014 12:42","1",NA,"PhD","1","1",NA,"1","1",NA,3,3,3,6,5,5,3,6,6,5,6,5,6,6,7,6,6,2,"65","65","93","1","5",NA,"PhD Students"
"959","6/27/2014 12:41","6/27/2014 12:44","1",NA,"Early","1","1",NA,"1","1",NA,3,3,3,4,3,4,3,5,3,3,3,3,3,3,4,2,3,3,"9","67","94","2","5",NA,"Early-career Scientists"
"961","6/27/2014 12:43","6/27/2014 12:46","1",NA,"Established","1","1",NA,"1","1",NA,3,5,3,4,4,4,5,4,3,5,2,4,6,3,6,3,3,2,"24","39","72","1","4",NA,"Established Scientists"
"962","6/27/2014 12:42","6/27/2014 12:48","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,6,4,5,5,5,6,6,3,2,4,6,7,7,2,6,2,"78","56","92","1","4",NA,"PhD Students"
"963","6/27/2014 12:42","6/27/2014 12:48","1",NA,"Established","1","1",NA,"1","1",NA,5,6,4,6,7,6,6,7,6,5,5,6,7,5,7,5,4,6,"86","63","94","1","5",NA,"Established Scientists"
"964","6/27/2014 12:38","6/27/2014 12:49","1",NA,"Early","1","1",NA,"1","1",NA,3,3,2,2,6,5,4,6,6,4,5,4,4,5,4,4,5,3,"187","41","71","1","4",NA,"Early-career Scientists"
"965","6/27/2014 12:44","6/27/2014 12:49","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,3,5,5,5,4,4,6,2,2,2,7,7,7,5,5,4,"187","56","88","1","5",NA,"PhD Students"
"966","6/27/2014 12:49","6/27/2014 12:52","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,3,3,4,4,4,5,5,2,2,4,5,5,3,5,3,3,"104","64","95","2","5",NA,"PhD Students"
