V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Screening,Condition,Intro,Consent,Reason_NC,CheckGroup,Check_Sc,Check_PhdS,Intro_ECS,Q1_ECS_Ob,Q2_ECS_Ob,Q3_ECS_Ob,Q4_ECS_Ra,Q5_ECS_Ra,Q6_ECS_Ra,Q7_ECS_Op,Q8_ECS_Op,Q9_ECS_Op,Q10_ECS_IQ,Q11_ECS_IQ,Q12_ECS_IQ,Q13_ECS_In,Q14_ECS_In,Q15_ECS_In,Q16_ECS_Co,Q17_ECS_Co,Q18_ECS_Co,Intro_ES,Q1_ES_Ob,Q2_ES_Ob,Q3_ES_Ob,Q4_ES_Ra,Q5_ES_Ra,Q6_ES_Ra,Q7_ES_Op,Q8_ES_Op,Q9_ES_Op,Q10_ES_IQ,Q11_ES_IQ,Q12_ES_IQ,Q13_ES_In,Q14_ES_In,Q15_ES_In,Q16_ES_Co,Q17_ES_Co,Q18_ES_Co,Intro_PhDs,Q1_PhD_Ob,Q2_PhD_Ob,Q3_PhD_Ob,Q4_PhD_Ra,Q5_PhD_Ra,Q6_PhD_Ra,Q7_PhD_Op,Q8_PhD_Op,Q9_PhD_Op,Q10_PhD_IQ,Q11_PhD_IQ,Q12_PhD_IQ,Q13_PhD_In,Q14_PhD_In,Q15_PhD_In,Q16_PhD_Co,Q17_PhD_Co,Q18_PhD_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_ac_age,Dem_gender,Dem_tenure,Feedback,DO-BR-FL_8,DO-BL-Early-careerscientists,DO-BL-Establishedscientists,DO-BL-PhD_students,LocationLatitude,LocationLongitude,LocationAccuracy
R_1NaYobQHjYMNvTL,Default Response Set,,,,,0,6/12/2014 2:17,6/12/2014 2:20,0,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6mym9nE67llAejj,Default Response Set,,,,,0,6/12/2014 5:59,6/12/2014 6:01,0,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dp6XYykxpJm6fDT,Default Response Set,,,,,0,6/19/2014 9:31,6/19/2014 9:35,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,3,6,5,5,3,6,6,1,1,1,6,5,6,3,5,4,1,48,61,90,2,5,,,,,,,,
R_d0fMNs86M4EiAxT,Default Response Set,,,,,0,6/12/2014 9:51,6/12/2014 9:52,0,,Early,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d6lp6eXtp2MZVIh,Default Response Set,,,,,0,6/12/2014 11:40,6/12/2014 11:42,0,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FUwrQI1z47rJpr,Default Response Set,,,,,0,6/19/2014 13:23,6/19/2014 13:27,1,,Early,1,1,,1,1,,1,5,7,5,5,6,7,6,6,5,4,4,4,6,7,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,185,65,92,2,5,,,,,,,,
R_3koKUa6pABzp3IV,Default Response Set,,,,,0,6/19/2014 17:55,6/19/2014 17:57,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,5,6,7,5,7,6,6,5,6,5,7,6,6,5,5,5,1,187,44,76,1,4,,,,,,,,
R_aXX2VSzfzGcSiMZ,Default Response Set,,,,,0,6/19/2014 19:49,6/19/2014 19:55,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,7,6,3,5,6,6,6,5,5,3,6,6,5,5,6,4,4,1,,,,,,,,,,,,,,,,,,,,1,48,48,79,1,4,,,,,,,,
R_4OxuDFpsxR3hmHH,Default Response Set,,,,,0,6/19/2014 20:28,6/19/2014 20:33,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,4,6,6,6,5,6,6,6,4,4,6,6,6,6,4,3,1,122,54,91,2,4,,,,,,,,
R_2ifCiQoSVlACJs9,Default Response Set,,,,,0,6/19/2014 23:29,6/19/2014 23:30,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aWbNCpFQFYHsuBT,Default Response Set,,,,,0,6/13/2014 2:15,6/13/2014 2:19,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ctDdoNAGpJ4gYIZ,Default Response Set,,,,,0,6/11/2014 15:07,6/13/2014 8:16,0,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0dEHlhpkK2eOp5b,Default Response Set,,,,,0,6/20/2014 8:27,6/20/2014 8:28,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eRj3Yok8PEcnGUR,Default Response Set,,,,,0,6/13/2014 10:44,6/13/2014 10:47,0,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,6,6,5,5,6,6,6,6,-99,6,-99,6,6,6,6,5,2,,,,,,,,,,,,,,,,,,,,1,122,-99,-99,-99,4,,,,,,,,
R_71dWW0XfT3dIjLT,Default Response Set,,,,,0,6/11/2014 12:40,6/13/2014 13:34,0,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4I1uYui51eRsRkp,Default Response Set,,,,,0,6/14/2014 13:59,6/14/2014 14:29,0,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8oEneBhlIqGZMmF,Default Response Set,,,,,0,6/21/2014 18:25,6/21/2014 18:29,1,,Established,1,1,,1,6,,,,,,,,,,,,,,,,,,,,,1,7,7,6,5,6,6,7,6,7,4,5,4,7,7,7,7,7,4,,,,,,,,,,,,,,,,,,,,1,137,65,93,1,5,,,,,,,,
R_eFhuz3SuwZYZYJD,Default Response Set,,,,,0,6/21/2014 22:55,6/21/2014 22:56,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5oTqFvaeQD5ddFb,Default Response Set,,,,,0,6/16/2014 8:40,6/16/2014 8:43,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0PaxNRm84N7op13,Default Response Set,,,,,0,6/23/2014 9:16,6/23/2014 9:24,1,,Early,1,1,,1,1,,1,5,2,2,4,5,3,3,6,6,4,5,4,3,3,5,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,62,86,1,5,,,,,,,,
R_7OIvQ2f8YhNrAax,Default Response Set,,,,,0,6/23/2014 14:20,6/23/2014 14:31,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,5,6,3,6,6,2,4,4,4,5,6,7,7,4,6,2,,,,,,,,,,,,,,,,,,,,1,24,66,93,1,4,,,,,,,,
R_b3JnrW8Lnj86dfL,Default Response Set,,,,,0,6/16/2014 16:46,6/16/2014 16:48,0,,Established,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,1,-99,-99,-99,-99,-99,,,,,,,,
R_3a91oNpwGTBEWaN,Default Response Set,,,,,0,6/16/2014 17:05,6/16/2014 17:07,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eEBv1ZY3mpFdFTT,Default Response Set,,,,,0,6/16/2014 17:03,6/16/2014 17:11,0,,Early,1,1,,1,1,,1,2,6,2,5,6,5,6,5,5,5,5,4,5,6,6,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_80P83svdvzx2cBL,Default Response Set,,,,,0,6/16/2014 17:00,6/16/2014 17:21,0,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,6,5,6,3,5,4,5,4,4,3,5,6,,,,,,,,,,,,,,
R_aXZG2M0bEZoRrNP,Default Response Set,,,,,0,6/16/2014 17:47,6/16/2014 17:47,0,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d07mBgsHuecOKBn,Default Response Set,,,,,0,6/16/2014 19:10,6/16/2014 19:10,0,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0vOi1bJiZdinvYF,Default Response Set,,,,,0,6/16/2014 19:10,6/16/2014 19:13,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3jBSQL5vzwZWuah,Default Response Set,,,,,0,6/16/2014 21:26,6/16/2014 21:31,0,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d7os7Qn2wLnTnNz,Default Response Set,,,,,0,6/23/2014 21:42,6/23/2014 21:48,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,3,6,5,6,3,5,6,5,2,5,6,6,6,3,6,3,1,161,48,79,2,4,,,,,,,,
R_81FHvv1QCvE4aoZ,Default Response Set,,,,,0,6/16/2014 22:01,6/16/2014 22:05,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8ChXE05DSoEhQih,Default Response Set,,,,,0,6/23/2014 23:42,6/23/2014 23:50,1,,Established,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,5,5,2,2,3,5,6,6,4,5,4,,,,,,,,,,,,,,,,,,,,1,187,32,71,1,4,,,,,,,,
R_3PK1znAZahmxjzT,Default Response Set,,,,,0,6/17/2014 0:39,6/17/2014 0:42,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3rDPKeibmicPEQl,Default Response Set,,,,,0,6/17/2014 6:23,6/17/2014 6:25,0,,Established,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_08jHsLojgKovneJ,Default Response Set,,,,,0,6/17/2014 9:49,6/17/2014 9:51,0,,Early,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aWbq65gNEIfrr6Z,Default Response Set,,,,,0,6/24/2014 10:50,6/24/2014 11:23,1,,Early,1,1,,1,1,,1,6,4,5,6,4,6,4,6,5,5,7,4,7,5,6,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,61,93,1,5,,,,,,,,
R_eWKPNlREPdDlFvD,Default Response Set,,,,,0,6/24/2014 17:41,6/24/2014 17:49,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,5,4,4,4,5,4,5,3,6,6,4,5,5,5,3,1,187,56,86,1,5,,,,,,,,
R_5sUD0Ao4QZHsxTL,Default Response Set,,,,,0,6/24/2014 20:56,6/24/2014 21:00,1,,Early,1,1,,1,1,,1,5,4,2,5,6,6,3,6,6,7,7,7,6,6,6,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,187,28,58,2,5,,,,,,,,
R_2ubZfZLdhmJD3aB,Default Response Set,,,,,0,6/18/2014 2:22,6/18/2014 2:24,0,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d6xA9ByWoQcz4sR,Default Response Set,,,,,0,6/25/2014 16:16,6/25/2014 16:23,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,3,5,5,6,5,3,5,3,3,5,6,6,5,5,3,3,,,,,,,,,,,,,,,,,,,,1,24,52,86,2,4,,,,,,,,
R_brozyGwEbhF9IeV,Default Response Set,,,,,0,6/27/2014 9:06,6/27/2014 9:11,1,,PhD,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,5,6,5,7,5,2,6,6,6,7,7,6,6,5,6,6,1,86,68,97,1,4,,,,,,,,
R_9EU4w0w4nQ15FXv,Default Response Set,,,,,0,6/27/2014 9:08,6/27/2014 9:12,1,,Established,1,1,,1,6,,,,,,,,,,,,,,,,,,,,,1,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,1,163,59,91,2,5,,,,,,,,
R_23Psuumz31OHhcx,Default Response Set,,,,,0,6/27/2014 9:08,6/27/2014 9:13,1,,Early,1,1,,1,1,,1,4,4,2,4,3,3,1,4,2,3,3,4,4,4,4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,50,79,1,4,,,,,,,,
R_4Jv3V1Ci3sXkpuZ,Default Response Set,,,,,0,6/27/2014 9:09,6/27/2014 9:15,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,5,6,5,5,5,5,5,5,5,6,6,3,5,3,1,122,65,95,1,5,,,,,,,,
R_a36OXE8mS2mhp2Z,Default Response Set,,,,,0,6/27/2014 9:12,6/27/2014 9:16,1,,Early,1,1,,1,1,,1,6,6,6,6,6,6,4,6,5,7,7,5,6,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,78,41,69,1,4,,,,,,,,
R_2mJCT54ABlZlh8V,Default Response Set,,,,,0,6/27/2014 9:12,6/27/2014 9:18,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,7,7,5,5,6,5,6,7,7,4,4,4,7,7,7,7,7,5,,,,,,,,,,,,,,,,,,,,1,42,47,1,2,4,,,,,,,,
R_81VMGPHk9tyvugl,Default Response Set,,,,,0,6/27/2014 9:20,6/27/2014 9:21,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0v7PQhsTAYVJYO1,Default Response Set,,,,,0,6/27/2014 9:20,6/27/2014 9:21,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3vAxa6CcJWiN0vr,Default Response Set,,,,,0,6/27/2014 9:21,6/27/2014 9:21,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_77e3sdBz31ooS21,Default Response Set,,,,,0,6/27/2014 9:18,6/27/2014 9:21,1,,Early,1,1,,2,,1,1,2,3,3,5,5,5,2,5,6,2,2,4,2,6,6,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,122,67,96,1,5,,,,,,,,
R_bgylZJn1W977rUx,Default Response Set,,,,,0,6/27/2014 9:13,6/27/2014 9:22,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,4,6,5,6,5,5,5,5,4,5,5,4,4,5,4,1,86,55,83,1,4,,,,,,,,
R_1BJgBWjB2Weumhf,Default Response Set,,,,,0,6/27/2014 9:18,6/27/2014 9:22,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,-99,-99,4,-99,-99,-99,-99,3,6,-99,4,-99,6,-99,3,-99,-99,1,-99,-99,-99,-99,-99,,,,,,,,
R_5mRNvCcdjrXKsrr,Default Response Set,,,,,0,6/27/2014 9:17,6/27/2014 9:22,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,2,5,5,5,3,6,6,3,6,3,6,4,5,6,3,1,1,185,59,86,2,4,,,,,,,,
R_efkUsakoBO7irwF,Default Response Set,,,,,0,6/27/2014 9:18,6/27/2014 9:23,1,,Established,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,5,6,5,5,5,4,4,5,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,1,65,68,95,2,5,,,,,,,,
R_cHMaAZAOlYzIj5z,Default Response Set,,,,,0,6/27/2014 9:17,6/27/2014 9:23,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,6,6,6,5,5,5,6,5,6,6,6,6,6,5,1,36,63,90,1,4,,,,,,,,
R_bIe5UHNWjET2GPj,Default Response Set,,,,,0,6/27/2014 9:20,6/27/2014 9:23,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,3,5,6,4,3,4,6,6,7,5,6,5,4,5,4,3,1,83,28,57,2,4,,,,,,,,
R_6fHTcfHzhqWipSJ,Default Response Set,,,,,0,6/27/2014 9:19,6/27/2014 9:24,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,3,5,5,6,3,5,5,4,4,5,5,5,4,3,4,2,1,161,57,84,1,4,,,,,,,,
R_0Do2C0QVC33Q0ct,Default Response Set,,,,,0,6/27/2014 9:15,6/27/2014 9:25,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,3,6,5,6,3,5,6,2,3,4,3,4,3,4,6,2,1,76,59,87,2,5,,,,,,,,
R_ekXtWe63b4EhZqZ,Default Response Set,,,,,0,6/27/2014 9:15,6/27/2014 9:25,1,,Early,1,1,,1,6,,1,5,3,3,5,6,6,5,5,6,6,3,3,6,6,7,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,56,90,2,5,,,,,,,,
R_elglOC0XuJK7yvz,Default Response Set,,,,,0,6/27/2014 9:22,6/27/2014 9:25,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,4,3,5,5,5,5,4,5,4,2,5,5,4,3,4,2,4,2,,,,,,,,,,,,,,,,,,,,1,65,63,88,1,4,,,,,,,,
R_cU2KFvympI5snvD,Default Response Set,,,,,0,6/27/2014 9:16,6/27/2014 9:26,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,4,3,5,6,6,3,5,5,6,4,4,4,3,2,5,4,1,,,,,,,,,,,,,,,,,,,,1,67,63,93,1,5,,,,,,,,
R_3WZUD0J1tNW5U57,Default Response Set,,,,,0,6/27/2014 9:19,6/27/2014 9:26,1,,Early,1,1,,1,1,,1,6,5,5,6,5,6,5,5,5,6,5,2,5,5,5,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,187,40,82,1,4,,,,,,,,
R_6FK5JmXSlaGdRBP,Default Response Set,,,,,0,6/27/2014 9:19,6/27/2014 9:26,1,,Established,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,5,4,6,6,6,6,4,4,5,2,6,4,6,4,6,4,5,1,,,,,,,,,,,,,,,,,,,,1,65,65,97,1,4,,,,,,,,
R_4GHIiB5x4AzKW6p,Default Response Set,,,,,0,6/27/2014 9:22,6/27/2014 9:26,1,,Early,1,1,,1,1,,1,6,3,4,6,6,6,6,6,6,6,6,5,7,7,7,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,185,54,81,1,5,,,,,,,,
R_1QQdtBkBrN9yyoZ,Default Response Set,,,,,0,6/27/2014 9:19,6/27/2014 9:27,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,4,4,6,4,5,4,3,3,4,6,5,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,1,17,65,93,1,5,,,,,,,,
R_9uGz7W50bYlNy2F,Default Response Set,,,,,0,6/27/2014 9:26,6/27/2014 9:27,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bC3176zYNqnOnkx,Default Response Set,,,,,0,6/27/2014 9:17,6/27/2014 9:28,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,3,6,2,5,5,6,2,5,3,5,5,5,6,6,6,5,4,3,,,,,,,,,,,,,,,,,,,,1,65,53,83,2,4,,,,,,,,
R_3xZhFmUcuWrTxel,Default Response Set,,,,,0,6/27/2014 9:27,6/27/2014 9:28,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2mdlecizIFKmOk5,Default Response Set,,,,,0,6/27/2014 9:20,6/27/2014 9:28,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,7,7,2,4,6,5,5,7,6,2,4,4,4,5,5,5,3,2,,,,,,,,,,,,,,,,,,,,1,84,56,85,1,4,,,,,,,,
R_6QIv9K9FvGAAICN,Default Response Set,,,,,0,6/27/2014 9:24,6/27/2014 9:29,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,4,6,7,7,7,7,7,5,6,4,7,4,6,7,5,4,,,,,,,,,,,,,,,,,,,,1,122,61,92,1,5,,,,,,,,
R_0Ht01BHuBehnnVP,Default Response Set,,,,,0,6/27/2014 9:20,6/27/2014 9:29,1,,Early,1,1,,1,1,,1,5,5,5,5,7,6,5,6,4,5,6,5,5,6,5,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,143,59,87,1,4,,,,,,,,
R_cZLC28GdrfQN3NP,Default Response Set,,,,,0,6/27/2014 9:26,6/27/2014 9:29,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,6,5,6,5,6,7,6,7,5,5,5,6,6,5,6,4,1,,,,,,,,,,,,,,,,,,,,1,65,42,71,1,4,,,,,,,,
R_9ZTMYvpuyIYV34V,Default Response Set,,,,,0,6/27/2014 9:14,6/27/2014 9:30,1,,Early,1,1,,1,1,,1,6,5,4,5,6,5,3,4,6,3,2,5,6,6,6,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,138,43,80,1,4,,,,,,,,
R_2tA1w1adl9l3Lj7,Default Response Set,,,,,0,6/27/2014 9:24,6/27/2014 9:31,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,2,6,6,4,3,6,6,2,1,3,7,6,7,5,6,2,1,163,49,77,2,4,,,,,,,,
R_bKJwtQOSMHPwInz,Default Response Set,,,,,0,6/27/2014 9:26,6/27/2014 9:33,1,,Early,1,1,,1,1,,1,5,6,5,6,5,6,5,3,3,6,6,4,5,5,5,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,37,64,1,4,,,,,,,,
R_eb4aslo20unDn9P,Default Response Set,,,,,0,6/27/2014 9:27,6/27/2014 9:33,1,,Early,1,1,,1,1,,1,5,5,5,5,5,6,4,5,5,6,6,4,5,5,4,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,179,56,81,1,4,,,,,,,,
R_6lemq53heYPwocZ,Default Response Set,,,,,0,6/27/2014 9:33,6/27/2014 9:34,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3lYfYoapAdW7uXH,Default Response Set,,,,,0,6/27/2014 9:30,6/27/2014 9:34,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,5,7,6,3,4,7,6,6,5,4,4,7,4,5,2,1,137,60,89,1,4,,,,,,,,
R_9ofebF1HlAKQcap,Default Response Set,,,,,0,6/27/2014 9:31,6/27/2014 9:36,1,,PhD,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,5,6,6,6,5,6,5,5,6,7,7,5,6,6,1,94,69,96,1,5,,,,,,,,
R_8xgvOGPCgjKMIHr,Default Response Set,,,,,0,6/27/2014 9:27,6/27/2014 9:37,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,7,7,5,7,6,7,7,7,7,2,5,2,7,7,7,7,6,7,,,,,,,,,,,,,,,,,,,,1,65,32,59,1,4,,,,,,,,
R_bPCnyuhIMg7NyAd,Default Response Set,,,,,0,6/27/2014 9:35,6/27/2014 9:37,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8GosHnaFIOGP8wd,Default Response Set,,,,,0,6/27/2014 9:33,6/27/2014 9:38,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,4,7,7,5,6,6,6,2,6,4,6,7,7,3,5,2,,,,,,,,,,,,,,,,,,,,1,61,52,80,1,4,,,,,,,,
R_40lefcpGVuYK5yl,Default Response Set,,,,,0,6/27/2014 9:18,6/27/2014 9:38,1,,Early,1,1,,1,2,,1,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,143,13,41,1,5,,,,,,,,
R_8wzYKceDGuq5y85,Default Response Set,,,,,0,6/27/2014 9:37,6/27/2014 9:38,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
