V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Intro,Consent,Reason_NC,Check_PhD,CheckGroup,Intro_1,Objectivit_1,Objectivit_2,Objectivit_3,Objectivit_4,Objectivit_5,Objectivit_6,Objectivit_7,Objectivit_8,Objectivit_9,Objectivit_10,Rationalit_1,Rationalit_2,Rationalit_3,Rationalit_4,Rationalit_5,Rationalit_6,Rationalit_7,Rationalit_8,Rationalit_9,Rationalit_10,Open-mind_1,Open-mind_2,Open-mind_3,Open-mind_4,Open-mind_5,Open-mind_6,Open-mind_7,Open-mind_8,Open-mind_9,Open-mind_10,Intelligen_1,Intelligen_2,Intelligen_3,Intelligen_4,Intelligen_5,Intelligen_6,Intelligen_7,Intelligen_8,Intelligen_9,Intelligen_10,Integrity_1,Integrity_2,Integrity_3,Integrity_4,Integrity_5,Integrity_6,Integrity_7,Integrity_8,Integrity_9,Integrity_10,Competitiv_1,Competitiv_2,Competitiv_3,Competitiv_4,Competitiv_5,Competitiv_6,Competitiv_7,Competitiv_8,Competitiv_9,Competitiv_10,Dem_intro,Dem_countr,Dem_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,LocationLatitude,LocationLongitude,LocationAccuracy
R_0DK14LG0mpQg3RP,Default Response Set,,,,,0,5/14/2014 17:26,5/14/2014 17:34,1,Scientists,,1,1,,1,1,1,19,19,19,70,60,19,40,49,29,60,50,30,30,70,91,40,29,60,40,91,10,19,59,30,8,5,19,61,70,60,70,50,60,60,40,19,50,70,50,80,71,17,19,81,91,41,8,95,19,70,49,81,70,29,8,20,91,9,60,50,1,185,34,63,1,38,,,,
R_1Us3R3GZZh9o9Uh,Default Response Set,,,,,0,5/14/2014 18:15,5/14/2014 18:22,1,Scientists,,1,1,,1,1,1,51,10,70,70,70,81,30,80,80,70,81,24,80,81,71,70,50,80,99,99,60,20,70,70,40,20,20,29,50,98,60,20,50,71,61,60,60,60,61,80,39,9,70,70,70,81,10,100,90,60,70,90,40,20,19,30,70,20,40,70,1,185,56,86,2,40,,,,
R_9GGq4RjcVnMUNfL,Default Response Set,,,,,0,5/14/2014 18:10,5/14/2014 18:23,1,Scientists,,1,1,,1,1,1,49,54,81,89,95,89,76,51,94,96,59,10,69,95,90,97,91,98,97,95,20,71,53,80,9,20,11,50,10,90,31,71,,62,,42,,74,,90,21,20,52,91,80,100,74,100,91,92,11,78,43,64,,50,,21,,92,1,78,40,69,1,41,,,,
R_eb5mRX8JNL6858N,Default Response Set,,,,,0,5/14/2014 20:48,5/14/2014 20:49,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3ed2bNvfchb1wjj,Default Response Set,,,,,0,5/14/2014 21:12,5/14/2014 21:12,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0cR6I4mcr1hyxtb,Default Response Set,,,,,0,5/15/2014 0:36,5/15/2014 0:40,1,Scientists,,1,1,,1,1,1,10,70,40,49,50,60,59,70,40,91,91,40,19,50,92,61,50,50,61,91,30,19,81,29,9,8,29,60,49,71,49,40,50,60,50,39,51,61,39,70,10,10,59,30,70,70,19,90,10,80,60,70,19,40,39,92,82,19,29,59,1,65,44,81,1,42,,,,
R_5aS8yPiVHd7IyB7,Default Response Set,,,,,0,5/15/2014 2:16,5/15/2014 2:26,1,Scientists,,1,1,,1,1,1,60,2,60,71,80,50,40,71,60,80,81,2,50,80,51,45,50,80,66,81,50,39,71,29,24,19,39,50,50,61,55,1,29,86,19,19,75,71,19,92,77,2,70,71,61,77,9,76,70,80,49,86,67,60,20,39,60,51,29,49,1,187,54,80,1,38,,,,
R_9n6LxXk77Ujta29,Default Response Set,,,,,0,5/15/2014 6:36,5/15/2014 6:44,1,Scientists,,1,1,,1,1,1,,,,,,,,,,80,40,10,39,70,40,40,10,80,41,61,28,81,60,29,61,80,51,71,81,100,29,60,40,59,40,60,71,80,91,91,51,40,29,70,49,71,39,40,30,71,61,50,70,10,30,9,19,19,19,71,1,137,59,89,1,43,,,,
R_5u5xSLb6FELA2gZ,Default Response Set,,,,,0,5/15/2014 7:51,5/15/2014 7:59,1,Scientists,,1,1,,1,1,1,1,0,0,90,0,0,0,0,0,90,0,0,11,9,10,0,9,10,10,100,8,9,8,91,9,9,10,92,40,91,3,0,1,0,0,2,0,0,0,99,0,0,0,0,0,0,0,0,1,89,0,0,0,0,0,0,12,0,91,91,1,80,57,86,1,39,,,,
R_9RcQnlGdS6rB9WZ,Default Response Set,,,,,0,5/15/2014 8:51,5/15/2014 8:58,1,Scientists,,1,1,,1,1,1,36,3,22,90,91,25,65,91,62,62,70,10,40,91,81,50,70,91,71,76,66,3,39,83,7,25,40,88,53,85,61,34,25,85,51,51,46,66,38,78,51,15,45,89,52,52,65,90,53,66,90,94,83,96,82,85,85,81,52,76,1,187,53,79,1,39,,,,
R_exEHkaq1r53TrYF,Default Response Set,,,,,0,5/15/2014 9:38,5/15/2014 9:44,1,Scientists,,1,1,,1,1,1,45,11,70,82,89,49,90,44,38,90,53,3,38,70,90,1,30,70,92,100,60,34,55,76,55,1,47,57,62,75,87,91,16,87,53,4,53,81,90,98,35,30,80,92,84,69,84,71,71,92,56,80,50,71,54,27,62,73,54,96,1,86,64,94,1,39,,,,
R_cRY01aTX9QIVFXf,Default Response Set,,,,,0,5/15/2014 10:11,5/15/2014 10:17,1,Scientists,,1,1,,1,1,1,80,59,92,90,51,71,55,100,84,88,60,10,80,89,81,30,80,80,70,100,41,36,71,39,18,9,30,60,86,89,73,30,42,70,60,41,49,70,53,87,20,19,70,81,60,30,2,100,9,91,50,93,80,69,19,77,92,19,10,84,1,122,47,76,1,39,,,,
R_b45SHmfncYBWYQJ,Default Response Set,,,,,0,5/15/2014 10:31,5/15/2014 10:36,1,Scientists,,1,1,,1,1,1,49,0,10,100,12,0,8,100,59,100,28,10,0,100,28,0,9,100,29,100,10,13,13,100,19,8,8,100,21,100,61,7,10,100,30,6,7,100,22,100,52,0,0,100,50,0,0,100,51,100,100,100,100,0,18,23,100,0,19,100,1,185,63,90,2,38,,,,
R_6PeL91eJjr9tF8p,Default Response Set,,,,,0,5/15/2014 11:05,5/15/2014 11:05,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3sG1mkj8ABzabIx,Default Response Set,,,,,0,5/15/2014 15:03,5/15/2014 15:10,1,Scientists,,1,1,,1,1,1,18,15,52,62,87,18,82,73,77,76,89,18,78,71,80,34,85,91,91,92,68,26,66,37,76,32,16,81,85,64,44,17,64,88,72,39,67,68,59,90,24,12,79,89,83,52,83,84,12,83,69,100,84,69,24,100,84,37,48,74,1,187,28,56,1,38,,,,
R_8DrjMdZ6ZTaZveZ,Default Response Set,,,,,0,5/15/2014 17:26,5/15/2014 17:40,1,Scientists,,1,1,,1,1,1,60,9,65,81,91,40,46,81,71,85,81,20,71,85,87,60,81,87,71,90,61,20,75,61,40,40,20,50,85,70,86,40,61,91,81,40,73,86,86,86,60,10,50,87,70,80,20,81,57,76,87,98,92,50,45,65,94,54,64,90,1,187,47,84,1,39,,,,
R_780xFa0OADxAOi1,Default Response Set,,,,,0,5/16/2014 1:26,5/16/2014 1:33,1,Scientists,,1,1,,2,,1,70,9,50,81,81,80,59,79,72,60,61,19,59,79,71,49,61,71,79,91,70,19,89,80,18,8,19,39,70,91,69,71,59,76,60,49,60,80,60,90,9,0,80,72,50,92,49,80,62,81,93,92,61,50,50,49,52,60,70,60,1,138,66,95,1,38,,,,
R_3CPKfsqRLkJiwE5,Default Response Set,,,,,0,5/16/2014 4:44,5/16/2014 4:50,1,Scientists,,1,1,,1,1,1,70,61,40,91,91,61,1,61,60,71,81,35,51,81,50,50,30,82,50,81,29,20,30,61,30,50,1,30,71,60,71,40,40,91,39,30,30,70,30,91,24,20,45,91,30,70,2,85,30,91,60,91,70,10,50,19,100,9,50,71,1,75,32,76,1,40,,,,
R_2lWXSI1FsZT1Cq9,Default Response Set,,,,,0,5/16/2014 10:27,5/16/2014 10:40,1,Scientists,,1,1,,2,,1,35,7,52,78,70,87,63,90,42,81,84,55,43,91,86,93,65,89,79,51,77,62,100,83,28,26,47,93,71,100,81,53,81,75,35,40,57,87,35,91,59,59,24,74,19,83,11,85,42,70,91,100,91,67,10,45,50,55,45,81,1,168,50,95,2,39,,,,
R_eWg9U0oGURwvHSd,Default Response Set,,,,,0,5/16/2014 11:22,5/16/2014 11:28,1,Scientists,,1,1,,1,1,1,30,40,30,70,92,61,28,92,80,80,82,41,52,82,90,72,41,71,71,91,60,51,52,71,60,31,71,40,59,82,73,60,51,80,62,50,59,81,69,91,52,30,33,82,70,61,30,91,72,83,82,91,82,72,61,72,82,71,62,82,1,48,47,75,1,38,,,,
R_eEByGobqO70MMGF,Default Response Set,,,,,0,5/16/2014 12:26,5/16/2014 12:38,1,Scientists,,1,1,,1,1,1,29,10,70,90,90,80,50,80,90,90,50,20,60,95,90,70,50,90,80,95,70,30,80,70,30,20,50,50,80,70,60,50,70,95,70,70,85,85,70,95,40,20,60,95,70,95,60,95,80,90,100,90,50,95,20,70,70,10,50,95,1,185,49,75,1,43,,,,
R_6txvld8vv63Yxg1,Default Response Set,,,,,0,5/16/2014 12:40,5/16/2014 12:47,1,Scientists,,1,1,,1,1,1,100,100,100,100,100,100,100,100,100,100,80,80,80,90,90,90,90,80,80,80,39,29,60,70,39,49,40,50,49,40,81,49,81,91,80,81,81,81,80,91,60,29,29,80,61,61,61,81,60,71,100,100,100,29,100,100,100,29,30,29,1,185,66,92,2,43,,,,
R_3WqoOjr0iijix7v,Default Response Set,,,,,0,5/18/2014 22:28,5/18/2014 22:34,1,Scientists,,1,1,,1,1,1,9,9,9,80,40,51,52,91,71,91,30,20,50,92,62,40,51,80,71,92,21,21,71,82,21,21,20,70,51,91,10,10,50,90,41,52,71,81,71,90,1,2,2,90,1,71,1,80,70,91,61,71,60,81,59,91,61,39,33,81,1,123,36,62,1,42,,,,
R_bHNArzZ74wA2e1f,Default Response Set,,,,,0,5/19/2014 9:36,5/19/2014 9:41,1,Scientists,,1,1,,1,1,1,85,0,85,100,50,0,0,100,0,100,100,0,75,100,100,0,100,100,0,100,9,50,100,70,10,1,9,70,1,100,85,0,75,80,0,0,50,95,0,100,75,0,100,100,75,0,0,100,10,100,100,100,75,0,75,0,100,0,0,100,1,9,62,88,1,38,,,,
R_38USvLv2GTOxflH,Default Response Set,,,,,0,5/19/2014 10:11,5/19/2014 10:29,1,Scientists,,1,1,,1,1,1,60,9,39,67,81,82,20,70,60,61,61,60,61,50,60,70,21,81,61,60,70,49,70,20,9,9,9,50,60,81,61,80,60,60,19,30,49,71,60,81,39,9,71,71,71,80,20,71,60,72,91,92,70,71,29,50,100,29,31,82,1,169,57,88,1,41,,,,
R_dcM76WASMgqTSyV,Default Response Set,,,,,0,5/12/2014 10:49,5/12/2014 10:53,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bykwHgZB9JHTEDb,Default Response Set,,,,,0,5/12/2014 12:33,5/12/2014 12:35,0,Scientists,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_exteJyJvvpd4PYh,Default Response Set,,,,,0,5/19/2014 13:03,5/19/2014 13:10,1,Scientists,,1,1,,1,1,1,19,35,65,94,71,2,14,96,81,87,75,55,50,95,87,9,20,98,85,97,10,50,66,87,19,4,4,92,85,90,67,66,56,96,56,15,30,86,67,86,35,14,55,93,76,1,9,98,85,85,82,91,81,9,4,92,10,9,60,81,1,122,36,76,1,44,,,,
R_0czwKTfGtYtRYup,Default Response Set,,,,,0,5/19/2014 13:13,5/19/2014 13:22,1,Scientists,,1,1,,1,1,1,9,20,9,80,81,9,81,61,91,80,50,20,19,71,60,9,29,70,100,100,69,50,80,30,9,9,100,20,19,61,71,70,60,81,60,50,60,91,60,81,30,20,40,80,30,91,9,60,100,71,91,100,50,71,9,9,100,40,29,91,1,163,50,81,1,38,,,,
R_d0dvYCfivtJEPUF,Default Response Set,,,,,0,5/14/2014 10:04,5/19/2014 13:23,1,Scientists,,1,1,,1,1,1,78,54,52,96,52,61,29,95,69,60,87,47,49,100,62,75,33,85,61,60,94,51,54,100,49,54,36,96,70,62,79,47,45,100,40,43,35,90,64,61,41,60,71,95,70,65,23,95,80,66,40,50,70,78,49,39,40,38,29,61,1,80,64,94,2,41,,,,
R_9so7vDu5xRNTydf,Default Response Set,,,,,0,5/19/2014 13:20,5/19/2014 13:28,1,Scientists,,1,1,,1,2,1,65,25,81,80,95,50,92,80,57,98,66,30,64,91,91,52,91,94,61,95,47,29,57,72,46,48,40,60,72,76,74,46,69,91,63,64,66,86,56,75,79,19,81,91,70,53,60,92,54,81,72,91,90,20,20,82,81,49,60,19,1,9,26,51,1,39,,,,
R_8vJpFmZ1hotkVP7,Default Response Set,,,,,0,5/19/2014 13:31,5/19/2014 13:31,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4N2IeV5BzSycSgZ,Default Response Set,,,,,0,5/19/2014 14:00,5/19/2014 14:06,1,Scientists,,1,1,,1,1,1,71,40,21,79,93,50,51,80,71,80,68,28,46,71,80,61,61,80,80,87,49,24,32,77,61,29,40,67,70,71,71,43,44,90,70,43,50,71,71,81,60,31,40,69,72,61,31,85,75,70,97,100,72,60,61,80,100,71,71,82,1,185,30,64,2,38,,,,
R_ekvKQwzqUsMtxWd,Default Response Set,,,,,0,5/19/2014 13:05,5/19/2014 14:07,1,Scientists,,1,1,,1,1,1,59,49,49,91,80,49,71,80,60,92,81,81,71,90,91,91,92,80,91,91,80,80,80,80,49,50,81,60,80,90,70,71,49,80,60,51,70,71,71,80,50,29,60,81,81,81,39,80,60,81,100,100,80,70,60,70,100,80,90,81,1,138,57,86,1,41,,,,
R_6tHAq9c0PKph9cx,Default Response Set,,,,,0,5/19/2014 13:56,5/19/2014 14:08,1,Scientists,,1,1,,1,1,1,65,60,70,80,75,85,70,75,70,90,70,70,65,80,70,60,65,75,60,80,80,75,80,65,50,50,70,70,75,65,75,80,70,75,65,70,70,75,70,85,60,40,70,75,70,80,50,75,65,75,85,95,80,75,70,80,90,90,75,80,1,24,61,89,1,39,,,,
R_eaMMbpw8x7frPsF,Default Response Set,,,,,0,5/19/2014 14:05,5/19/2014 14:13,1,Scientists,,1,1,,1,1,1,29,9,9,71,80,92,,51,,70,70,18,28,70,71,71,81,80,,91,60,40,40,49,18,39,50,60,,91,71,50,50,81,70,71,70,81,,91,39,9,19,49,81,92,39,39,,81,92,40,70,71,19,92,91,41,,90,1,84,50,82,2,44,,,,
R_9LxbZYsLA5YblaJ,Default Response Set,,,,,0,5/19/2014 14:16,5/19/2014 14:25,1,Scientists,,1,1,,1,1,1,100,100,100,100,100,100,100,100,100,100,100,92,68,100,100,100,100,91,52,55,80,71,84,91,40,21,51,81,92,100,82,100,85,100,78,52,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,89,89,11,18,12,93,10,50,100,1,84,36,64,2,43,,,,
R_0vQXTns3bXYh5VX,Default Response Set,,,,,0,5/19/2014 14:28,5/19/2014 14:28,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0PWBeqlKoEPi8eh,Default Response Set,,,,,0,5/19/2014 14:39,5/19/2014 14:45,1,Scientists,,1,1,,1,1,1,98,49,63,96,97,95,99,99,95,100,96,97,96,95,95,95,96,93,96,94,51,25,49,97,88,95,52,50,50,85,84,84,84,82,83,86,84,83,83,84,100,100,99,99,99,100,100,97,99,99,99,51,81,59,50,69,49,61,61,82,1,78,36,67,2,44,,,,
R_9pkmUCcfkFItmvz,Default Response Set,,,,,0,5/14/2014 11:50,5/19/2014 14:50,1,Scientists,,1,1,,1,1,1,53,39,52,52,30,43,54,52,49,16,57,52,,65,45,48,59,41,63,98,54,56,44,48,45,55,54,47,55,48,86,60,45,71,68,70,50,59,47,74,43,57,32,48,65,57,49,70,47,80,50,49,51,51,49,50,50,50,50,49,1,83,60,88,1,44,,,,
R_8301SrV5L1R0suh,Default Response Set,,,,,0,5/19/2014 14:47,5/19/2014 14:52,1,Scientists,,1,1,,1,1,1,51,51,50,51,50,50,50,51,50,50,10,9,100,100,40,50,100,100,40,100,9,100,100,100,51,48,49,100,51,100,40,19,60,90,60,60,61,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,51,50,50,100,50,100,1,78,53,83,1,44,,,,
R_6Gdn9qk9rqHnJ6l,Default Response Set,,,,,0,5/19/2014 16:28,5/19/2014 16:44,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fSkup4Z2BtDqwl,Default Response Set,,,,,0,5/19/2014 16:46,5/19/2014 16:53,1,Scientists,,1,1,,2,,1,50,2,50,50,85,70,50,40,50,50,55,50,60,70,81,60,70,55,70,70,18,17,36,15,27,13,18,19,29,24,50,37,40,60,60,50,50,50,60,57,3,1,25,60,80,50,6,45,3,50,73,75,70,73,50,71,80,70,73,76,1,31,60,95,1,38,,,,
R_cGAASjAiJkrqYnj,Default Response Set,,,,,0,5/19/2014 16:51,5/19/2014 16:57,1,Scientists,,1,1,,1,1,1,21,5,100,28,3,2,1,7,2,100,35,37,100,2,6,1,3,6,2,100,3,28,100,15,2,2,2,5,2,100,25,30,100,10,2,1,5,39,43,100,2,29,100,6,4,0,1,2,3,100,24,29,100,12,2,0,5,29,3,100,1,80,60,91,1,43,,,,
R_etYZwlps2KqIkIZ,Default Response Set,,,,,0,5/19/2014 16:43,5/19/2014 16:58,1,Scientists,,1,1,,1,1,1,70,19,30,81,91,92,50,70,50,91,60,60,50,90,50,30,30,90,80,90,40,20,70,80,20,20,30,70,40,80,60,20,70,70,30,20,30,90,30,90,50,39,51,70,80,50,30,90,50,80,70,90,80,80,30,70,80,30,40,70,1,187,23,49,1,39,,,,
R_cvGbaBwVJmpOMXH,Default Response Set,,,,,0,5/19/2014 18:30,5/19/2014 18:38,1,Scientists,,1,1,,1,2,1,80,40,71,91,50,71,20,91,71,91,70,50,71,91,61,71,71,81,71,91,55,20,71,91,50,71,20,70,71,91,71,50,70,91,50,51,50,91,50,91,71,51,60,96,52,70,20,96,71,96,71,91,91,50,50,50,100,51,61,50,1,185,20,44,1,40,,,,
R_bKJDX5WoEVkYlDL,Default Response Set,,,,,0,5/19/2014 18:39,5/19/2014 18:43,1,Scientists,,1,1,,2,,1,29,9,49,60,49,60,40,49,50,70,51,10,58,61,80,51,50,69,60,59,80,9,81,49,19,18,52,30,51,81,51,30,40,81,50,50,51,71,52,91,29,8,30,70,50,49,10,30,50,50,100,99,100,100,51,100,100,99,60,100,1,187,64,95,2,39,,,,
R_0ePmwpZEfxCHD3T,Default Response Set,,,,,0,5/19/2014 20:04,5/19/2014 20:20,1,Scientists,,1,1,,1,1,1,81,9,8,49,50,26,18,29,13,59,90,7,25,91,70,56,35,98,79,51,8,83,64,27,83,15,10,10,1,13,71,50,51,94,40,40,50,82,51,94,10,49,26,71,70,13,17,50,50,71,78,95,71,97,7,42,32,31,2,97,1,48,41,74,2,42,,,,
R_2gAY6HFyUkw0cLz,Default Response Set,,,,,0,5/19/2014 20:44,5/19/2014 20:52,1,Scientists,,1,1,,2,,1,77,59,69,50,88,77,60,87,96,98,72,57,73,75,71,85,74,88,94,97,62,76,68,76,73,67,69,89,92,96,70,55,77,69,70,74,74,89,94,97,77,54,74,75,84,69,61,94,90,97,72,62,73,72,71,80,77,91,89,95,1,36,69,95,1,42,,,,
R_6E8KMw1rHtaKSiN,Default Response Set,,,,,0,5/19/2014 22:21,5/19/2014 22:28,1,Scientists,,1,1,,1,1,1,50,19,81,91,71,49,100,100,100,96,100,51,100,100,100,100,100,100,100,100,91,40,81,80,100,0,100,50,100,100,100,100,100,100,100,100,100,100,100,100,19,0,50,80,50,91,0,100,80,81,81,100,91,19,100,0,100,0,80,0,1,84,57,86,1,41,,,,
R_9z6qMubHCWg8ONf,Default Response Set,,,,,0,5/20/2014 0:59,5/20/2014 1:00,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0eQYpXum7L3bFVb,Default Response Set,,,,,0,5/20/2014 8:24,5/20/2014 8:38,1,Scientists,,1,1,,1,6,1,71,25,39,61,72,60,73,81,70,60,81,65,51,82,71,61,72,80,82,82,59,81,82,79,40,60,39,60,80,79,82,68,68,87,51,50,52,81,85,82,83,33,71,60,56,28,70,85,78,70,37,73,75,73,51,51,49,40,69,68,1,128,44,94,2,44,,,,
R_8ptAWFAx4XniSXj,Default Response Set,,,,,0,5/20/2014 7:27,5/20/2014 8:55,1,Scientists,,1,1,,1,1,1,63,32,60,92,68,44,80,55,80,92,72,49,41,82,81,41,81,92,90,92,41,49,39,81,80,9,80,71,50,80,52,31,82,60,87,40,86,51,81,50,30,19,19,82,50,50,71,50,70,82,50,30,61,51,70,71,71,51,72,60,1,130,55,88,2,43,,,,
R_0MQFyheXNRxaPDn,Default Response Set,,,,,0,5/20/2014 10:30,5/20/2014 10:40,1,Scientists,,1,1,,1,1,1,91,91,91,70,91,71,70,91,91,91,61,61,71,81,81,70,71,60,91,91,71,91,91,71,61,81,71,91,91,91,70,70,71,79,91,50,71,61,91,91,61,91,91,50,29,70,40,70,50,60,81,81,70,71,81,60,81,60,70,71,1,79,61,94,1,42,,,,
R_3X9OBVqoa1TOze5,Default Response Set,,,,,0,5/20/2014 12:58,5/20/2014 12:58,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eKc1kWhk38G8L1r,Default Response Set,,,,,0,5/14/2014 10:01,5/14/2014 10:02,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eWjhEBKGi2k01ff,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 10:04,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,51,92,30,91,71,50,30,31,81,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2srjoQThDSi1qdf,Default Response Set,,,,,0,5/14/2014 10:43,5/14/2014 10:46,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bDSXQbCOPEKbC9D,Default Response Set,,,,,0,5/14/2014 11:41,5/14/2014 11:43,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0V2EQIPYBJQYGr3,Default Response Set,,,,,0,5/14/2014 11:48,5/14/2014 11:50,0,Scientists,,1,1,,1,6,1,20,19,50,90,90,,18,60,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Rfu9NAS09zzPCZ,Default Response Set,,,,,0,5/14/2014 12:34,5/14/2014 12:38,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,52,82,28,58,,28,23,52,82,68,,,,,,,,,,,53,48,51,50,,53,53,46,51,51,,,,,,,,,,,1,,,,,,,,,
R_2aAUJw5x2wRgX65,Default Response Set,,,,,0,5/14/2014 14:26,5/14/2014 14:27,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3IeE08pW8jeW9KZ,Default Response Set,,,,,0,5/14/2014 14:38,5/14/2014 14:42,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8e7zqpfH8Hzhm0l,Default Response Set,,,,,0,5/14/2014 18:31,5/14/2014 18:35,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9pgaMxgb7NTaRFP,Default Response Set,,,,,0,5/20/2014 7:52,5/21/2014 19:10,1,Scientists,,1,1,,1,1,1,49,49,60,95,49,81,86,85,91,95,80,70,80,100,91,80,80,80,96,100,80,60,84,84,80,70,70,80,70,95,85,70,80,90,85,71,90,85,95,95,60,49,70,90,60,86,85,91,70,95,96,100,96,91,60,80,75,80,80,95,1,83,36,66,1,38,,,,
R_42eAh4cZHbZl0Wx,Default Response Set,,,,,0,5/15/2014 4:43,5/15/2014 4:44,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_24BdReWKxSQx6L3,Default Response Set,,,,,0,5/14/2014 17:51,5/15/2014 6:05,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,80,80,80,90,70,70,80,80,70,90,,,,,,,,,,,80,80,70,90,70,80,80,80,70,90,90,90,91,90,91,90,90,91,90,90,,,,,,,,,,,,,,,,,,,,
R_8GSaVUnWEmkxOwR,Default Response Set,,,,,0,5/16/2014 10:19,5/16/2014 10:22,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4UT6PMYHUQf4F37,Default Response Set,,,,,0,5/16/2014 19:13,5/16/2014 19:16,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,43,52,78,52,67,19,83,82,80,,,,,,,,,,,,,,,,,,,,
R_6JZm7cXRNpyWSPj,Default Response Set,,,,,0,5/25/2014 18:28,5/25/2014 18:36,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_e5aJh9qZqp3S2fH,Default Response Set,,,,,0,5/19/2014 14:15,5/19/2014 14:18,0,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,84,,,,,,93,,,,,,,,,,,,,,,,,,,,
R_5dKmyCjdWoabBqd,Default Response Set,,,,,0,5/19/2014 14:34,5/19/2014 14:41,0,Scientists,,1,1,,2,,1,,,,,,,,,,,4,1,92,87,2,55,3,76,51,2,,,,,,,,,,,,,,,,,,,,,2,2,88,89,31,51,3,60,51,2,,,,,,,,,,,,,,,,,,,,
