V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Condition,Intro,Consent,Reason_NC,CheckPhD,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,DO-BR-FL_13,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_8vQ3pHJq7fgo5gx,Default Response Set,,,,,0,6/11/2014 19:53,6/11/2014 20:08,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,3,6,5,6,3,5,3,3,3,3,5,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,1,187,29,60,1,44,,,,,,,
R_dbt2GTA3RGFEFfv,Default Response Set,,,,,0,6/11/2014 20:07,6/11/2014 20:22,1,Scientists,,Scientists_Educated,1,1,,1,6,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,5,5,5,5,6,5,5,5,5,5,5,5,5,3,1,83,39,76,1,39,,,,,,,
R_07yLxMYhWFMKdU1,Default Response Set,,,,,0,6/11/2014 20:18,6/11/2014 20:28,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,6,5,4,6,5,5,6,5,2,2,2,5,3,6,6,4,5,1,65,60,89,1,44,,,,,,,
R_2ivrD39j7M4p5GZ,Default Response Set,,,,,0,6/11/2014 20:56,6/11/2014 21:00,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,3,2,4,5,5,3,5,5,4,4,5,6,6,6,5,3,4,,,,,,,,,,,,,,,,,,,,1,187,50,80,1,44,,,,,,,
R_1XqFYbmgZEUIbf7,Default Response Set,,,,,0,6/11/2014 23:12,6/11/2014 23:13,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4OPWarYdaO7bpRz,Default Response Set,,,,,0,6/12/2014 1:32,6/12/2014 1:39,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,1,9,27,58,1,43,,,,,,,
R_4GyUM9dFcCgKRtb,Default Response Set,,,,,0,6/12/2014 8:07,6/12/2014 8:22,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,2,2,5,6,6,7,5,6,5,3,3,7,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,1,78,65,93,1,41,,,,,,,
R_dgJsOfkQDFvM4xn,Default Response Set,,,,,0,6/12/2014 10:29,6/12/2014 10:30,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d4nQsSFAnR7Gvit,Default Response Set,,,,,0,6/12/2014 12:10,6/12/2014 12:13,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,5,6,6,6,5,6,5,6,6,5,6,5,7,5,5,2,,,,,,,,,,,,,,,,,,,,1,185,41,66,2,39,,,,,,,
R_cBn1DAWBhEDcTY1,Default Response Set,,,,,0,6/12/2014 13:08,6/12/2014 13:13,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,3,5,3,2,2,3,3,2,3,3,3,4,4,2,2,2,1,153,61,93,1,39,,,,,,,
R_6D2k5BSFPRnG45L,Default Response Set,,,,,0,6/12/2014 13:35,6/12/2014 13:36,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6nf3XQwwJFmCCq1,Default Response Set,,,,,0,6/12/2014 20:17,6/12/2014 20:18,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8jg5HCgbkESgYZv,Default Response Set,,,,,0,6/13/2014 8:51,6/13/2014 8:54,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,6,5,6,6,6,6,7,5,6,5,6,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,1,78,51,79,1,38,,,,,,,
R_1C7ELwVtVTwQNdb,Default Response Set,,,,,0,6/13/2014 13:35,6/13/2014 13:38,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,3,1,187,38,71,1,38,,,,,,,
R_d0GLubFE3rS8c6h,Default Response Set,,,,,0,6/14/2014 21:02,6/14/2014 21:03,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_80sSFkCM5t8Jr8x,Default Response Set,,,,,0,6/16/2014 16:23,6/16/2014 16:26,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,7,5,6,6,6,6,6,6,4,4,4,7,7,7,7,7,6,,,,,,,,,,,,,,,,,,,,1,187,59,87,2,38,,,,,,,
R_72IPJeCYn8CedSZ,Default Response Set,,,,,0,6/16/2014 16:24,6/16/2014 16:28,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,1,6,5,7,5,6,5,3,1,7,6,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,1,187,58,85,1,38,,,,,,,
R_dj0AU2h2GogZpxX,Default Response Set,,,,,0,6/16/2014 16:23,6/16/2014 16:28,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,2,3,3,5,3,3,3,3,3,2,5,3,3,2,3,2,1,187,61,89,1,38,,,,,,,
R_02R9OWgQQ59c0HX,Default Response Set,,,,,0,6/16/2014 16:28,6/16/2014 16:31,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,1,7,6,6,3,6,6,2,5,2,6,6,6,6,5,1,,,,,,,,,,,,,,,,,,,,1,187,30,55,1,43,,,,,,,
R_cCQ2kh9GOTrGErb,Default Response Set,,,,,0,6/16/2014 16:30,6/16/2014 16:32,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_78N21WGaWo6YH2d,Default Response Set,,,,,0,6/16/2014 16:31,6/16/2014 16:34,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,5,5,5,5,4,5,5,5,4,4,5,3,3,3,1,31,47,77,1,39,,,,,,,
R_3lSvv3yH7IBzZOJ,Default Response Set,,,,,0,6/16/2014 16:33,6/16/2014 16:34,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dajXyBl7VwwSt6Z,Default Response Set,,,,,0,6/16/2014 16:28,6/16/2014 16:35,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,5,2,6,3,5,5,2,5,2,2,2,2,2,2,2,2,2,1,187,53,85,2,38,,,,,,,
R_ebOQkxBNMe0Oa7H,Default Response Set,,,,,0,6/16/2014 16:35,6/16/2014 16:35,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8uDkDKIjJvZStfv,Default Response Set,,,,,0,6/16/2014 16:32,6/16/2014 16:36,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,3,5,5,5,5,5,7,1,2,2,5,5,5,3,5,2,,,,,,,,,,,,,,,,,,,,1,187,53,80,1,38,,,,,,,
R_dmPh7m9ohxkGVGl,Default Response Set,,,,,0,6/16/2014 16:36,6/16/2014 16:39,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,1,1,1,5,3,3,2,1,1,5,5,6,5,4,4,3,2,1,,,,,,,,,,,,,,,,,,,,1,187,52,85,1,42,,,,,,,
R_eVtRD6QtNeauLUV,Default Response Set,,,,,0,6/16/2014 16:34,6/16/2014 16:39,1,Scientists,,Scientists_Educated,1,1,,1,6,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,1,65,42,69,1,41,,,,,,,
R_3EQfmzEUfjtDOD3,Default Response Set,,,,,0,6/16/2014 16:38,6/16/2014 16:39,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dhFapbCX88oV0sR,Default Response Set,,,,,0,6/16/2014 16:37,6/16/2014 16:43,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,4,3,3,5,5,4,2,4,4,3,4,5,3,5,4,3,2,1,168,39,72,1,38,,,,,,,
R_9slg6qUKKJh6z7T,Default Response Set,,,,,0,6/16/2014 16:35,6/16/2014 16:43,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,-99,6,5,6,7,6,7,7,6,6,7,6,6,3,5,7,4,1,86,64,94,1,44,,,,,,,
R_e3zUPl3EUPWY37n,Default Response Set,,,,,0,6/16/2014 16:35,6/16/2014 16:48,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,2,6,5,6,6,6,6,4,3,2,7,7,7,7,5,5,,,,,,,,,,,,,,,,,,,,1,84,45,76,1,42,,,,,,,
R_5u8ID06WWQeYp7v,Default Response Set,,,,,0,6/16/2014 16:47,6/16/2014 16:49,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6YgYX8WvpTUepbT,Default Response Set,,,,,0,6/16/2014 16:45,6/16/2014 16:49,1,Scientists,,Scientists_Scientists,1,1,,1,2,1,6,7,7,7,6,7,6,6,6,6,6,6,7,7,7,7,7,6,,,,,,,,,,,,,,,,,,,,1,185,28,52,1,41,,,,,,,
R_3wIN86RgcNEiX65,Default Response Set,,,,,0,6/16/2014 16:46,6/16/2014 16:51,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,5,4,4,6,5,5,5,6,4,2,5,6,6,7,6,4,3,,,,,,,,,,,,,,,,,,,,1,138,49,94,2,41,,,,,,,
R_aY7xmX7w0ZT0ox7,Default Response Set,,,,,0,6/16/2014 16:33,6/16/2014 16:54,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,6,5,4,2,5,5,3,6,5,4,3,4,2,2,3,1,31,53,88,1,38,,,,,,,
R_23j2WRbrIAJ08hD,Default Response Set,,,,,0,6/16/2014 16:51,6/16/2014 16:54,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,4,5,6,6,6,5,6,3,2,3,5,6,4,5,6,6,1,138,61,93,2,38,,,,,,,
R_7Qx2kd3CPKhQYMR,Default Response Set,,,,,0,6/16/2014 16:51,6/16/2014 16:57,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,2,6,2,7,5,6,3,2,2,2,7,6,6,6,4,4,,,,,,,,,,,,,,,,,,,,1,187,59,91,2,42,,,,,,,
R_6m9DZqo8j33VssR,Default Response Set,,,,,0,6/16/2014 16:58,6/16/2014 16:58,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4JBwM2bW5ReyVbT,Default Response Set,,,,,0,6/16/2014 16:46,6/16/2014 16:59,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,5,6,5,6,7,5,5,6,6,7,6,7,5,7,3,5,4,1,111,65,95,1,43,,,,,,,
R_b2EeJPvY2vHZQkB,Default Response Set,,,,,0,6/16/2014 16:54,6/16/2014 16:59,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,2,4,7,5,3,5,3,4,5,5,4,2,2,2,2,1,1,65,56,83,1,38,,,,,,,
R_9LABARCBfp4kQHX,Default Response Set,,,,,0,6/16/2014 17:00,6/16/2014 17:01,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0kMlUFsroyemKoZ,Default Response Set,,,,,0,6/16/2014 16:58,6/16/2014 17:02,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,2,1,5,5,5,3,3,5,2,5,2,5,5,6,3,3,3,,,,,,,,,,,,,,,,,,,,1,187,55,92,2,39,,,,,,,
R_9WZJKDMIO05tqN7,Default Response Set,,,,,0,6/16/2014 17:06,6/16/2014 17:10,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,4,4,2,2,3,4,5,3,4,1,1,3,4,3,1,187,34,56,1,43,,,,,,,
R_aYtGZSoL5T8G0Sh,Default Response Set,,,,,0,6/16/2014 17:08,6/16/2014 17:12,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,2,6,6,5,3,3,5,6,4,5,4,4,1,78,63,91,1,42,,,,,,,
R_9ZBFA7BKwrjnBv7,Default Response Set,,,,,0,6/16/2014 17:04,6/16/2014 17:13,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,5,4,4,5,6,6,4,5,3,5,3,3,7,7,4,5,4,,,,,,,,,,,,,,,,,,,,1,86,47,75,1,38,,,,,,,
R_3afYkHg6i4nEdIF,Default Response Set,,,,,0,6/16/2014 17:07,6/16/2014 17:13,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,4,5,5,6,6,6,4,5,5,5,4,5,7,7,7,5,5,,,,,,,,,,,,,,,,,,,,1,80,64,93,1,39,,,,,,,
R_9nTa0uU0CGZvGa9,Default Response Set,,,,,0,6/16/2014 16:58,6/16/2014 17:14,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,7,6,3,4,6,6,7,2,4,5,5,7,6,7,5,6,5,1,183,62,95,2,39,,,,,,,
R_7P3UC1yHndFVT3T,Default Response Set,,,,,0,6/16/2014 17:12,6/16/2014 17:19,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,2,6,5,7,6,6,5,3,3,2,5,6,5,5,6,3,,,,,,,,,,,,,,,,,,,,1,111,50,90,1,39,,,,,,,
R_0lcruX83c6Nm6wZ,Default Response Set,,,,,0,6/16/2014 17:15,6/16/2014 17:20,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,7,6,6,6,7,6,6,6,7,7,6,7,7,6,6,6,6,1,78,45,78,1,43,,,,,,,
R_8CGu9qGyfL708nP,Default Response Set,,,,,0,6/16/2014 17:18,6/16/2014 17:24,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,2,5,5,6,3,3,5,6,3,1,6,7,6,7,2,2,5,,,,,,,,,,,,,,,,,,,,1,163,56,91,2,39,,,,,,,
R_0iG02BvFT4mPuxT,Default Response Set,,,,,0,6/16/2014 17:24,6/16/2014 17:25,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3md6bZYTSyt1o1f,Default Response Set,,,,,0,6/16/2014 17:21,6/16/2014 17:27,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,6,6,6,5,6,6,5,5,5,5,3,2,5,2,3,1,187,35,63,2,38,,,,,,,
R_enSP4NK0VFyIgcJ,Default Response Set,,,,,0,6/16/2014 17:23,6/16/2014 17:31,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,5,5,5,5,5,4,4,5,4,4,5,4,4,4,4,4,1,61,54,92,1,38,,,,,,,
R_bxRQsKOPY6lprTL,Default Response Set,,,,,0,6/16/2014 17:18,6/16/2014 17:34,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,3,4,5,6,5,4,5,4,6,3,5,4,1,2,2,1,1,1,187,42,70,1,43,,,,,,,
R_552DbrsSrIQOpEN,Default Response Set,,,,,0,6/16/2014 17:32,6/16/2014 17:35,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0jqKqkl25C4Joah,Default Response Set,,,,,0,6/16/2014 17:21,6/16/2014 17:39,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,2,6,5,6,2,3,6,3,3,2,6,3,2,2,4,2,,,,,,,,,,,,,,,,,,,,1,61,42,85,1,39,,,,,,,
R_55A6W12oikYMdnL,Default Response Set,,,,,0,6/16/2014 17:41,6/16/2014 17:44,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,3,2,6,5,6,2,3,6,5,4,5,6,6,6,3,4,2,,,,,,,,,,,,,,,,,,,,1,187,56,85,1,39,,,,,,,
R_2uw51e1zD0gI8hn,Default Response Set,,,,,0,6/16/2014 18:31,6/16/2014 18:32,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7P3SazVZ3IQJupn,Default Response Set,,,,,0,6/16/2014 18:33,6/16/2014 18:33,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_81brWaWvc6K8Ukt,Default Response Set,,,,,0,6/16/2014 18:43,6/16/2014 18:47,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,4,2,5,4,5,4,6,5,3,3,2,5,2,5,2,3,1,1,187,59,88,1,42,,,,,,,
R_1MlRqULh3PapXLL,Default Response Set,,,,,0,6/16/2014 18:45,6/16/2014 18:52,1,Scientists,,Scientists_Scientists,1,1,,2,,1,5,6,3,6,6,6,5,5,5,4,2,2,6,5,7,6,5,3,,,,,,,,,,,,,,,,,,,,1,45,65,95,2,39,,,,,,,
R_6EW8Ar5YQMpKLT7,Default Response Set,,,,,0,6/16/2014 18:49,6/16/2014 18:52,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,6,5,6,4,5,5,3,6,4,4,3,3,3,3,3,1,187,38,65,1,42,,,,,,,
R_e3Wa8kmEAmI2jJj,Default Response Set,,,,,0,6/16/2014 18:50,6/16/2014 18:59,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,2,4,3,5,5,7,5,6,5,5,6,3,2,2,4,2,1,122,38,85,1,40,,,,,,,
R_cHM4PQrnhL4maeV,Default Response Set,,,,,0,6/16/2014 18:55,6/16/2014 19:00,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,4,5,6,6,6,6,5,5,5,6,5,6,4,6,5,3,1,,,,,,,,,,,,,,,,,,,,1,187,-99,86,2,42,,,,,,,
R_eS8mgWCDjKl49ut,Default Response Set,,,,,0,6/16/2014 18:58,6/16/2014 19:04,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,1,4,5,3,4,5,2,3,5,3,3,1,1,2,2,1,1,65,38,73,2,38,,,,,,,
R_9MLReDVIaTGqczr,Default Response Set,,,,,0,6/16/2014 19:03,6/16/2014 19:08,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,3,2,4,3,4,5,3,5,3,3,4,3,4,3,5,2,1,31,27,59,2,41,,,,,,,
R_0PAEn45LkQyg1zn,Default Response Set,,,,,0,6/16/2014 18:54,6/16/2014 19:14,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,4,4,6,6,6,6,6,6,2,4,6,3,4,4,4,2,,,,,,,,,,,,,,,,,,,,1,78,59,86,1,42,,,,,,,
R_6sPHARKz8Q2IuVL,Default Response Set,,,,,0,6/16/2014 19:06,6/16/2014 19:15,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2tOokmCplKq5ylv,Default Response Set,,,,,0,6/16/2014 19:18,6/16/2014 19:24,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,2,2,6,6,5,3,5,5,5,5,4,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,1,187,59,90,1,39,,,,,,,
R_8cBptxiz0GPIgVn,Default Response Set,,,,,0,6/16/2014 19:36,6/16/2014 19:37,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_a03xHEdG7mlV1jf,Default Response Set,,,,,0,6/16/2014 19:36,6/16/2014 19:40,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,7,6,7,6,5,6,6,7,5,5,5,7,7,7,6,6,2,,,,,,,,,,,,,,,,,,,,1,31,30,55,1,38,,,,,,,
R_0qC5Jbt5P2DBeE5,Default Response Set,,,,,0,6/16/2014 19:59,6/16/2014 20:05,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,6,6,3,3,6,6,7,6,3,3,6,6,6,6,6,5,3,1,179,50,79,1,39,,,,,,,
R_1M8sVwgkR8DaD53,Default Response Set,,,,,0,6/16/2014 20:20,6/16/2014 20:28,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,4,6,6,6,4,5,6,3,5,5,5,4,5,4,3,4,1,83,33,79,1,39,,,,,,,
R_eldomimgQW7ry9D,Default Response Set,,,,,0,6/16/2014 20:29,6/16/2014 20:32,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,3,2,6,6,6,5,3,3,2,5,5,5,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,1,187,47,73,1,38,,,,,,,
R_cYIVYM5DPxvz19b,Default Response Set,,,,,0,6/16/2014 20:45,6/16/2014 20:49,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,2,5,5,5,5,3,3,2,1,1,2,1,2,1,187,-99,-99,1,39,,,,,,,
R_4MftQBQMdOukuHj,Default Response Set,,,,,0,6/16/2014 20:59,6/16/2014 20:59,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_01TMsJk7n9HypcF,Default Response Set,,,,,0,6/16/2014 21:06,6/16/2014 21:10,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,4,5,6,5,5,5,5,4,5,5,6,6,5,6,6,5,,,,,,,,,,,,,,,,,,,,1,187,49,80,1,38,,,,,,,
R_7VssE2VDLHcgd7L,Default Response Set,,,,,0,6/16/2014 20:49,6/16/2014 21:20,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,1,5,7,6,2,2,2,2,2,5,6,2,1,1,2,2,1,187,55,85,1,42,,,,,,,
R_2uH41XlpHacIgU5,Default Response Set,,,,,0,6/16/2014 21:26,6/16/2014 21:31,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,1,5,5,5,6,6,6,1,2,2,6,6,6,3,4,2,1,65,50,81,2,43,,,,,,,
R_cwpNO9kvHtcnflX,Default Response Set,,,,,0,6/16/2014 21:46,6/16/2014 21:46,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6rEuYJF92KnjU57,Default Response Set,,,,,0,6/16/2014 22:22,6/16/2014 22:22,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4G7Irg9Nqzy4jdz,Default Response Set,,,,,0,6/16/2014 22:13,6/16/2014 22:32,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,3,3,4,5,5,6,3,2,5,4,2,6,5,5,5,4,3,,,,,,,,,,,,,,,,,,,,1,86,31,62,1,39,,,,,,,
R_bwNRYy5TfjYhyDz,Default Response Set,,,,,0,6/16/2014 22:55,6/16/2014 22:55,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3JIAMmAgFiWsCwt,Default Response Set,,,,,0,6/16/2014 22:50,6/16/2014 22:57,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,5,5,7,6,6,5,4,6,5,6,5,6,7,7,7,7,3,,,,,,,,,,,,,,,,,,,,1,187,66,93,1,43,,,,,,,
R_0caoVeMosLm787r,Default Response Set,,,,,0,6/16/2014 22:56,6/16/2014 23:00,1,Scientists,,Scientists_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,6,5,3,6,6,6,6,6,6,5,4,4,6,5,6,5,4,5,1,26,61,96,1,41,,,,,,,
R_9trSo4a7ptApq4Z,Default Response Set,,,,,0,6/16/2014 22:54,6/16/2014 23:01,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,3,4,7,6,4,6,6,2,3,1,4,5,3,2,4,4,1,10,52,80,1,38,,,,,,,
R_0CgN7InXvCr3god,Default Response Set,,,,,0,6/16/2014 23:00,6/16/2014 23:08,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,3,4,5,5,5,7,3,5,7,3,7,6,6,2,6,5,,,,,,,,,,,,,,,,,,,,1,86,63,89,1,39,,,,,,,
R_4Yep5Gl1FAOPHrT,Default Response Set,,,,,0,6/16/2014 23:58,6/17/2014 0:02,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,6,5,6,5,5,5,5,5,5,5,2,5,3,2,1,1,187,50,75,1,38,,,,,,,
R_54t7Xy6FI0bCFLL,Default Response Set,,,,,0,6/17/2014 1:32,6/17/2014 1:53,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,5,6,6,6,6,6,6,5,5,6,7,7,6,6,3,1,80,45,77,1,40,,,,,,,
R_5aOGWYVxwcqYddr,Default Response Set,,,,,0,6/17/2014 1:53,6/17/2014 2:03,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,5,6,6,6,7,6,5,6,5,3,5,7,7,6,6,5,1,,,,,,,,,,,,,,,,,,,,1,188,38,64,1,38,,,,,,,
R_bIX3peEmJImiLVr,Default Response Set,,,,,0,6/17/2014 2:11,6/17/2014 2:16,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,5,5,5,6,6,5,5,6,5,6,2,6,5,1,5,6,4,1,36,60,90,1,42,,,,,,,
