V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,vid,gc,quota,Respondent_Group,term,Screening,Condition,Intro,Consent,Reason_NC,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_gender,Dem_occup,Dem_occup_TEXT,Dem_relig,Feedback,DO-BR-FL_19,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_5Ac6bmyvIw7mjrv,Default Response Set,Anonymous,,,50.162.82.64,0,5/14/2014 0:11,5/14/2014 0:13,1,bfca2495-9cd0-4c34-9c14-bc3ce54c0c76,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,1,187,35,1,7,religious,43,,,,,,,
R_719nDCwN2lvH40J,Default Response Set,Anonymous,,,71.82.9.174,0,5/14/2014 0:14,5/14/2014 0:24,1,9818ac6d-7cf8-4235-8e7b-e0790a6c52df,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,5,6,5,5,6,6,6,6,5,6,6,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,1,187,26,2,7,teacher - retired,44,,,,,,,
R_aVQLpeyLs4bb6br,Default Response Set,Anonymous,,,166.205.51.98,0,5/14/2014 0:18,5/14/2014 0:30,1,667f48ae-e4b5-4fd9-bd52-93785d029d5f,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,66,2,7,Business analyst,41,,,,,,,
R_8dZuNmppWpsVCUR,Default Response Set,Anonymous,,,98.113.66.181,0,5/14/2014 0:29,5/14/2014 0:31,1,9f07d77f-1b25-45f4-a11d-8eb0b93b862c,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,7,4,6,6,5,5,6,7,6,6,5,5,7,7,4,4,5,4,1,187,61,1,7,manager,44,,,,,,,
R_879bmDIrYxKF0Kp,Default Response Set,Anonymous,,,69.73.50.40,0,5/14/2014 0:33,5/14/2014 0:35,1,7d33e9d8-8939-44e2-9ea1-47d9869451b7,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,5,5,6,6,6,5,5,6,4,5,5,6,6,6,5,6,4,,,,,,,,,,,,,,,,,,,,1,187,34,1,7,IT,44,,,,,,,
R_e8RYGX2rQUyP7xj,Default Response Set,Anonymous,,,76.205.244.31,0,5/14/2014 0:35,5/14/2014 0:36,1,f9a4ac0e-13d8-4f6d-ad05-0717e689f1fc,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,5,4,5,4,4,5,4,5,5,4,5,4,4,5,5,4,4,1,187,62,1,7,services,43,,,,,,,
R_54qFwXitvuZsr5z,Default Response Set,Anonymous,,,23.228.235.104,0,5/14/2014 0:45,5/14/2014 0:48,1,c0d6ea7c-42fc-4db2-9483-60b64792d180,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,4,5,6,6,4,3,4,4,5,-99,6,5,3,6,4,4,5,,,,,,,,,,,,,,,,,,,,1,187,61,1,7,sale,40,,,,,,,
R_9ZiVLYH1RlZpPWR,Default Response Set,Anonymous,,,173.79.236.217,0,5/14/2014 0:56,5/14/2014 0:58,1,1e0c0aea-874d-4e4b-ab81-bc19f5f45757,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,3,3,2,3,3,3,3,3,3,3,2,2,2,2,1,3,2,3,1,187,43,1,7,Technologist,40,,,,,,,
R_bCTuEhRFhG3posB,Default Response Set,Anonymous,,,68.50.119.56,0,5/14/2014 0:43,5/14/2014 1:02,1,a638b217-cc1e-4a44-8ac9-b3304f2fdf68,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,5,5,5,5,4,3,4,4,5,4,4,3,4,3,1,187,65,2,7,Associate,40,,,,,,,
R_blttvyzY33qKxO5,Default Response Set,Anonymous,,,173.88.68.33,0,5/14/2014 0:59,5/14/2014 1:06,1,6ff15684-ffb1-4189-bea7-e4e4b9fd71e4,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,7,5,6,6,6,7,6,5,6,5,7,6,6,6,3,3,3,1,187,39,1,7,cashier,43,,,,,,,
R_0Oi85EfR2RkRtZ3,Default Response Set,Anonymous,,,69.57.121.168,0,5/14/2014 1:05,5/14/2014 1:08,1,5b23d57d-fb7d-438e-8e35-3f56522853bd,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,187,35,1,7,,44,,,,,,,
R_6YxF3LJZhZTlp3L,Default Response Set,Anonymous,,,76.73.161.96,0,5/14/2014 1:00,5/14/2014 1:13,1,8a0f8fdc-eb15-47b8-b06a-7b52f11f0031,1,,Educated,,,Educated_Scientists,1,1,,2,1,7,7,4,6,6,7,6,6,4,6,4,4,7,7,7,7,6,4,,,,,,,,,,,,,,,,,,,,1,187,39,2,7,medical technologist,44,,,,,,,
R_erPAIemJjz1oCTr,Default Response Set,Anonymous,,,71.126.53.192,0,5/14/2014 1:10,5/14/2014 1:13,1,8a8bd0ec-f5cf-4bbf-9cd3-861779d34414,1,,Educated,,,Educated_Scientists,1,1,,2,1,2,2,3,4,2,4,2,2,2,5,4,5,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,187,21,1,7,Webmaster,44,,,,,,,
R_01XCVynjgCgtVel,Default Response Set,Anonymous,,,76.177.91.107,0,5/14/2014 1:11,5/14/2014 1:16,1,1d8eb21b-5d22-4402-8664-0395a37ec206,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,3,2,3,3,4,2,6,5,4,1,2,5,2,2,5,3,2,1,187,39,2,7,Education,39,,,,,,,
R_bxBC3OBTjjGa2B7,Default Response Set,Anonymous,,,50.23.113.206,0,5/14/2014 1:16,5/14/2014 1:18,1,95576319-8566-433e-a361-df122a90eaf3,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,3,5,6,5,5,6,6,4,4,5,6,4,4,3,4,4,5,,,,,,,,,,,,,,,,,,,,1,187,63,1,7,nurse,42,,,,,,,
R_2coN7JwYuDaV8HP,Default Response Set,Anonymous,,,99.63.33.222,0,5/14/2014 0:39,5/14/2014 1:19,1,0cfd6c55-e48a-4e26-92cf-7909b14f47f0,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,34,1,7,writer,43,,,,,,,
R_eaFoy0LxEWXT4J7,Default Response Set,Anonymous,,,170.190.40.78,0,5/14/2014 1:17,5/14/2014 1:22,1,f32bf3fc-b56a-4970-891d-438584e7fbc3,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,2,3,4,5,4,4,5,5,5,2,4,4,1,1,3,4,2,1,187,29,1,7,,42,,,,,,,
R_8vxpw40apB7IWj3,Default Response Set,Anonymous,,,72.130.203.42,0,5/14/2014 1:07,5/14/2014 1:24,1,1cd3952b-3af3-454d-94ee-2ebaf9e52f05,1,,Educated,,,Educated_Scientists,1,1,,4,1,3,4,2,5,5,5,4,3,4,2,6,6,5,4,5,2,2,2,,,,,,,,,,,,,,,,,,,,1,187,38,1,6,,41,,,,,,,
R_3e13SjluIEdB0Hz,Default Response Set,Anonymous,,,76.125.134.53,0,5/14/2014 1:20,5/14/2014 1:25,1,77217ce4-47bb-4ca8-ab8a-e19857c2ef7e,1,,Educated,,,Educated_Scientists,1,1,,1,1,3,4,3,4,5,4,3,4,3,2,2,4,5,5,2,3,3,3,,,,,,,,,,,,,,,,,,,,1,187,30,2,7,homemaker,42,,,,,,,
R_37ygGHSLYrmuZ2R,Default Response Set,Anonymous,,,108.231.138.187,0,5/14/2014 1:21,5/14/2014 1:28,1,69c7ad60-d8a4-4940-9371-17e893729d47,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,6,7,4,7,7,6,7,7,6,4,4,1,7,1,1,7,6,1,1,187,54,1,7,it manager,42,,,,,,,
R_bCP6hL2HHxA4uDb,Default Response Set,Anonymous,,,98.192.105.198,0,5/14/2014 1:18,5/14/2014 1:30,1,e75ba202-d982-4be6-8c6e-7da09bce5849,1,,Educated,,,Educated_Scientists,1,1,,1,1,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,1,187,52,2,7,IT,44,,,,,,,
R_7PeqZcE7eWxN1wF,Default Response Set,Anonymous,,,98.116.68.206,0,5/14/2014 1:13,5/14/2014 1:35,1,83ad41ca-2a31-40ac-82fb-532a5d0b18eb,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,4,5,3,3,3,3,2,6,3,3,3,3,3,3,3,1,187,71,2,7,Musician,38,,,,,,,
R_514abc9JLxu6JUx,Default Response Set,Anonymous,,,50.102.190.46,0,5/14/2014 1:33,5/14/2014 1:37,1,f96cb755-57f0-4eb9-861d-85feec0e1630,1,,Educated,,,Educated_Scientists,1,1,,2,1,4,3,4,5,5,4,3,3,3,3,3,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,1,187,31,2,7,personal services,44,,,,,,,
R_emm8EJ234jpsjNX,Default Response Set,Anonymous,,,199.68.199.137,0,5/14/2014 1:44,5/14/2014 1:47,1,84dcd553-dcdc-454e-8cd0-5130785f9e44,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,6,5,6,7,6,6,6,6,5,6,5,5,6,6,6,7,5,1,187,64,1,7,social worker,42,,,,,,,
R_ai045F99NnQqGhv,Default Response Set,Anonymous,,,97.114.123.236,0,5/14/2014 1:36,5/14/2014 1:50,1,5cece795-b341-48a9-b1b0-8938a033b89a,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,4,1,4,3,4,4,5,4,4,1,1,4,3,4,4,3,3,1,187,40,2,7,actuary,40,,,,,,,
R_7220WqAaiYZh1EV,Default Response Set,Anonymous,,,207.62.246.200,0,5/14/2014 1:50,5/14/2014 1:53,1,b241779c-7313-4d79-a47c-51cd7de86eb7,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,7,7,7,7,6,7,7,7,5,5,5,7,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,1,187,18,1,6,,41,,,,,,,
R_b26Epvh6HY0RYUt,Default Response Set,Anonymous,,,24.184.170.27,0,5/14/2014 1:50,5/14/2014 1:53,1,4c290821-144d-4414-ba18-ed1e74a00ce4,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,187,31,1,7,retail,41,,,,,,,
R_0xsLJQHI6ZnvC17,Default Response Set,Anonymous,,,71.236.19.95,0,5/14/2014 1:56,5/14/2014 1:59,1,44953a8b-15e4-4af8-970b-07f0e9b55f4c,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,5,6,7,7,7,6,4,3,7,6,7,7,6,6,3,4,1,,,,,,,,,,,,,,,,,,,,1,187,34,2,7,Sales,41,,,,,,,
R_e4CYF6UQkvpjBqZ,Default Response Set,Anonymous,,,108.195.16.129,0,5/14/2014 1:58,5/14/2014 2:02,1,694f4f13-4f02-4a5e-b8e7-4ce36c079f4b,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,1,187,59,2,7,fashion,43,,,,,,,
R_cT6wofkQ7eNvWlv,Default Response Set,Anonymous,,,67.169.181.62,0,5/14/2014 2:04,5/14/2014 2:07,1,12fb8416-b820-4162-b65e-f1cccf89334b,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,4,4,4,5,5,4,4,4,3,5,3,4,4,4,4,4,4,1,187,61,2,7,none,40,,,,,,,
R_3TUTfp7RiV59ggJ,Default Response Set,Anonymous,,,172.56.9.167,0,5/14/2014 1:59,5/14/2014 2:09,1,9f900276-0393-4215-bad0-954050b9ef6d,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,6,6,5,5,6,6,5,6,6,4,2,6,5,5,3,4,5,2,1,187,57,2,7,customer care ,42,,,,,,,
R_0dCYdzihMbwxSGp,Default Response Set,Anonymous,,,72.192.235.124,0,5/14/2014 2:08,5/14/2014 2:09,1,06370641-3ee9-4970-8d3a-aa20ac2baa60,1,,Educated,,,Educated_Scientists,1,1,,2,1,7,6,6,6,6,6,6,6,6,7,5,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,1,187,46,1,7,analyst,43,,,,,,,
R_cHHAUtlPvuFL1iZ,Default Response Set,Anonymous,,,108.203.49.205,0,5/14/2014 2:13,5/14/2014 2:17,1,7f75008f-ab94-4973-82a6-dce4d2be55db,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,187,32,1,7,Police,39,,,,,,,
R_7ZFzJQlJGxBuEXb,Default Response Set,Anonymous,,,174.48.48.103,0,5/14/2014 2:21,5/14/2014 2:23,1,5ea9e002-7c24-4fe6-95af-ee6e5c8ab69f,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,5,5,4,6,5,6,5,5,5,5,5,5,5,4,4,4,5,5,1,187,42,1,7,Programmer/Analyst,43,,,,,,,
R_aVMJmf4JfosOHJP,Default Response Set,Anonymous,,,67.190.137.214,0,5/14/2014 2:18,5/14/2014 2:24,1,f4a82855-02bd-4524-96cc-06be5ff80f6b,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,3,5,6,5,5,5,6,6,6,5,6,6,6,5,6,4,1,187,24,1,7,accountant,38,,,,,,,
R_0P6luLDkbumi0GV,Default Response Set,Anonymous,,,98.229.221.115,0,5/14/2014 1:53,5/14/2014 2:33,1,1d4054b3-7342-4751-96b3-198ea573c780,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,6,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,,,,,,,,,,,,,,,,,,,,1,187,67,1,7,si manage,38,,,,,,,
R_eM2bA5wwEH9rKSh,Default Response Set,Anonymous,,,69.116.170.237,0,5/14/2014 2:31,5/14/2014 2:34,1,82864137-ee9b-44d0-9faf-ab4efd9560f5,1,,Educated,,,Educated_Scientists,1,1,,4,1,6,6,2,7,4,5,4,5,6,3,2,4,4,6,6,3,5,5,,,,,,,,,,,,,,,,,,,,1,187,38,1,7,Physician,38,,,,,,,
R_094wK2lzeypzoYl,Default Response Set,Anonymous,,,98.209.35.112,0,5/14/2014 2:37,5/14/2014 2:41,1,02eb1691-da56-4594-98f7-6c1493139c8f,1,,Educated,,,Educated_Scientists,1,1,,2,1,1,4,4,7,1,4,1,1,4,4,7,7,4,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,1,187,47,2,7,Owner/Teacher,38,,,,,,,
R_50FDPknVELPxf93,Default Response Set,Anonymous,,,75.13.132.191,0,5/14/2014 2:44,5/14/2014 2:48,1,1a83e499-4c6d-41a2-9d48-0d7807fb3859,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,6,5,6,6,5,5,4,5,4,4,4,4,4,4,3,1,187,59,2,7,Accountant,44,,,,,,,
R_6FHae1B1miZCTJj,Default Response Set,Anonymous,,,108.34.131.13,0,5/14/2014 2:50,5/14/2014 2:56,1,aa4b9d64-7d26-450f-b24e-fec09fe8c679,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,5,2,6,6,6,4,6,5,5,2,5,6,3,3,4,4,2,1,187,49,1,7,disabled/retired,40,,,,,,,
R_bJwPK0d55ao40uh,Default Response Set,Anonymous,,,72.77.254.95,0,5/14/2014 2:55,5/14/2014 2:58,1,9f856e1f-d63e-4a6a-981c-c89457b75791,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,3,4,6,6,6,3,5,6,6,6,6,6,4,4,3,3,6,,,,,,,,,,,,,,,,,,,,1,187,29,1,7,Safety,39,,,,,,,
R_6oivdsMFIPCorxb,Default Response Set,Anonymous,,,98.114.209.150,0,5/14/2014 2:56,5/14/2014 2:58,1,f2d009e7-6e45-4d96-beaf-f0a13f1e0b44,1,,Educated,,,Educated_Scientists,1,1,,2,1,5,6,3,7,6,6,5,6,7,5,6,4,7,7,7,7,3,4,,,,,,,,,,,,,,,,,,,,1,187,64,2,7,counselor,38,,,,,,,
R_5jqaRgieav8wonz,Default Response Set,Anonymous,,,71.55.212.69,0,5/14/2014 2:59,5/14/2014 3:00,1,7dfcb462-32e5-4a1a-83ad-d7bc8b3a8122,1,,Educated,,,Educated_Educated,1,1,,4,,,,,,,,,,,,,,,,,,,,1,5,6,6,5,5,6,5,6,6,5,6,7,6,6,6,5,5,5,1,187,63,1,6,,44,,,,,,,
R_4GAcq5dbCsryszH,Default Response Set,Anonymous,,,98.200.211.60,0,5/14/2014 2:58,5/14/2014 3:01,1,0770d7ef-c48e-44ff-92de-846573713d3d,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,4,6,5,2,5,4,2,2,3,6,1,3,4,5,1,1,187,34,1,7,property manager,40,,,,,,,
R_ah5mbiy20FOR4bz,Default Response Set,Anonymous,,,73.189.23.69,0,5/14/2014 2:59,5/14/2014 3:01,1,1ffcaca6-482e-4d5d-b67f-aa08e9e7be0c,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,7,7,7,6,7,7,7,6,6,5,5,7,7,5,7,7,6,6,1,187,41,2,7,homemaker/retired,44,,,,,,,
R_8bJshJYIUuevMu9,Default Response Set,Anonymous,,,69.171.163.186,0,5/14/2014 2:59,5/14/2014 3:04,1,6106f523-fe61-423d-a745-e62a104fe96f,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,57,2,7,stay at home mom,42,,,,,,,
R_0c6ZkeuSzD5ociV,Default Response Set,Anonymous,,,68.187.187.231,0,5/14/2014 2:58,5/14/2014 3:07,1,02853b81-8d8c-4ce4-8b40-37fd98aa41e9,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,6,4,4,6,6,6,6,2,6,4,4,6,6,6,6,6,2,,,,,,,,,,,,,,,,,,,,1,187,25,2,7,Psychiatric Therapist,43,,,,,,,
R_2fuy8X0YbCUVKnP,Default Response Set,Anonymous,,,50.2.43.42,0,5/14/2014 3:05,5/14/2014 3:08,1,3522ae50-e21b-4a51-a860-8cef8c600ea7,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,4,2,6,6,6,4,6,6,5,5,5,6,4,2,4,4,3,,,,,,,,,,,,,,,,,,,,1,187,64,1,7,management,41,,,,,,,
R_9HmAnIuKV9dBRzv,Default Response Set,Anonymous,,,173.174.153.240,0,5/14/2014 3:09,5/14/2014 3:13,1,f2b7f9e4-1462-4060-835d-358fb7320104,1,,Educated,,,Educated_Scientists,1,1,,1,1,2,2,2,6,3,5,2,1,4,2,1,5,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,1,187,32,1,7,Retired,41,,,,,,,
R_a59EcyEHyPHh0Tr,Default Response Set,Anonymous,,,96.24.129.106,0,5/14/2014 3:09,5/14/2014 3:14,1,f70d2061-36a3-4c52-b9e9-c8f8fe021635,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,3,2,3,3,5,5,5,4,5,5,6,3,6,5,6,4,3,3,1,187,60,2,7,Consulting Director,42,,,,,,,
R_bCQ6b0oPUIx9ot7,Default Response Set,Anonymous,,,69.120.26.175,0,5/14/2014 3:13,5/14/2014 3:16,1,c53870c1-4a9a-43b9-bba0-b9f379147032,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,6,3,6,6,7,7,6,6,5,3,4,6,4,3,4,4,3,,,,,,,,,,,,,,,,,,,,1,187,52,2,7,financial analyst,39,,,,,,,
R_9HyiMin4IIYiOA5,Default Response Set,Anonymous,,,99.104.7.5,0,5/14/2014 3:13,5/14/2014 3:16,1,5ea8e0d1-e1cc-4b55-9f1c-2c796fa947f6,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,7,4,3,7,7,6,4,4,6,3,1,5,4,5,4,4,6,4,1,187,43,1,7,Librarian,38,,,,,,,
R_81Yzo5amHit7OOV,Default Response Set,Anonymous,,,98.244.143.86,0,5/14/2014 3:14,5/14/2014 3:18,1,de28c60c-c9b9-479e-8779-a6e4ffd01e26,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,2,2,5,3,6,2,5,2,1,1,2,2,2,2,1,187,36,1,7,construction,44,,,,,,,
R_a4oYcfrH0qc1r7v,Default Response Set,Anonymous,,,74.45.65.8,0,5/14/2014 3:21,5/14/2014 3:27,1,3d0200d1-c24f-4027-a5ff-3aa4b8bfa174,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,3,3,5,6,5,4,4,4,2,2,3,6,5,5,4,5,3,1,187,31,2,7,,44,,,,,,,
R_3953fmWDNBqi2wZ,Default Response Set,Anonymous,,,68.53.67.74,0,5/14/2014 3:24,5/14/2014 3:28,1,47feef60-e7bf-4f3b-99d4-d928f37b5f98,1,,Educated,,,Educated_Scientists,1,1,,2,1,3,3,6,6,7,7,7,6,5,6,6,7,3,3,3,3,5,5,,,,,,,,,,,,,,,,,,,,1,187,26,2,7,retail,41,,,,,,,
R_bl5n4vsPPgmVkBn,Default Response Set,Anonymous,,,50.4.219.102,0,5/14/2014 3:23,5/14/2014 3:28,1,7d9c11e6-e4ba-46a3-a6c2-24fadceef114,1,,Educated,,,Educated_Scientists,1,1,,2,1,2,4,4,4,6,4,4,4,4,3,3,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,18,1,7,teacher,40,,,,,,,
R_9MpUqWGdrmEOqqh,Default Response Set,Anonymous,,,75.117.34.104,0,5/14/2014 3:25,5/14/2014 3:31,1,c542e7e1-c317-48d8-96bc-ec852df98811,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,7,6,5,6,7,6,5,7,6,6,5,5,7,6,4,4,3,2,1,187,61,2,7,freelance writer,38,,,,,,,
R_cZ0V9vlfdi4Gc6x,Default Response Set,Anonymous,,,24.42.180.150,0,5/14/2014 3:24,5/14/2014 3:32,1,a215b77d-6461-4993-9525-89ab20309217,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,3,6,5,7,6,6,7,3,3,3,7,6,7,7,3,4,,,,,,,,,,,,,,,,,,,,1,187,32,1,7,Retired,39,,,,,,,
R_3rVuWpzNCIHnqT3,Default Response Set,Anonymous,,,71.219.5.161,0,5/14/2014 3:29,5/14/2014 3:34,1,186a500b-a774-49ff-bc38-d0f2c4f13663,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,3,2,5,5,4,4,5,3,4,2,4,5,3,4,4,4,3,1,187,35,2,7,Teacher,43,,,,,,,
R_9oWWg3dJaxRE7BP,Default Response Set,Anonymous,,,50.104.87.106,0,5/14/2014 3:29,5/14/2014 3:34,1,48d63816-f72c-468e-9964-2765af19ee3c,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,7,3,5,3,5,5,3,5,4,4,3,7,3,6,2,2,3,,,,,,,,,,,,,,,,,,,,1,187,32,1,7,Computer Science,43,,,,,,,
R_3DAgl5XgJF5gp3D,Default Response Set,Anonymous,,,67.81.143.110,0,5/14/2014 3:34,5/14/2014 3:37,1,aa6879c7-c409-4ad2-b7e8-42a26b9cd2c5,1,,Educated,,,Educated_Educated,1,1,,4,,,,,,,,,,,,,,,,,,,,1,3,3,4,2,2,2,3,3,4,3,3,2,3,4,4,3,3,4,1,187,18,1,6,,40,,,,,,,
R_8cfQjZXgvrzoi8J,Default Response Set,Anonymous,,,99.122.5.232,0,5/14/2014 3:34,5/14/2014 3:37,1,8a8a471a-38a0-44b2-869d-aba6363907a2,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,5,5,6,6,6,6,5,5,4,4,6,6,5,5,5,6,4,,,,,,,,,,,,,,,,,,,,1,187,33,2,7,educator,43,,,,,,,
R_1zCNdF39jF5d1Sl,Default Response Set,Anonymous,,,67.67.11.247,0,5/14/2014 3:30,5/14/2014 3:38,1,733efb7b-4193-45fd-ab0c-7a543e31c36c,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,4,7,6,6,6,6,7,6,7,7,6,6,6,7,6,4,,,,,,,,,,,,,,,,,,,,1,187,69,2,7,Unemployed,39,,,,,,,
R_d4HwBxe4YQVwnQN,Default Response Set,Anonymous,,,107.178.34.58,0,5/14/2014 3:34,5/14/2014 3:38,1,28e4245c-a14f-4322-99bc-f5b2d30d39cc,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,5,4,4,4,4,4,4,6,4,3,3,4,4,4,4,4,4,4,1,187,52,1,7,administration,43,,,,,,,
R_eFF59YH1wbdy80R,Default Response Set,Anonymous,,,24.118.168.118,0,5/14/2014 3:36,5/14/2014 3:39,1,4708af5c-4475-4d0c-a619-065fa0fcd6df,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,4,5,4,5,6,5,5,5,3,5,5,5,6,4,3,3,4,5,1,187,48,1,7,program director,43,,,,,,,
R_5BFDNq5ORaP6sUR,Default Response Set,Anonymous,,,99.36.96.97,0,5/14/2014 3:31,5/14/2014 3:39,1,57419d45-a708-4039-becf-f5155ad918a6,1,,Educated,,,Educated_Scientists,1,1,,1,1,3,3,4,4,4,4,2,3,2,4,4,4,4,3,4,3,4,3,,,,,,,,,,,,,,,,,,,,1,187,51,1,7,retail,39,,,,,,,
R_6WLabk4JrClt7db,Default Response Set,Anonymous,,,72.186.243.109,0,5/14/2014 3:29,5/14/2014 3:39,1,ef707087-5ffc-4bc4-910a-596c080c3cd8,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,5,4,5,6,7,5,6,6,7,2,4,5,5,6,4,4,2,1,187,58,1,7,manager,40,,,,,,,
